Zeitstempel	Probanden-ID																												
10.05.2021 15:06:42	1	4	6	4	6	6	7	7	5	1	3	4	4	4	7	7	6	5	6	6	3	6	7	5	4	5	7	6	6
11.05.2021 15:55:53	2	3	7	5	6	6	6	5	6	4	6	6	6	4	7	7	6	6	7	7	5	7	5	6	6	6	6	7	6
11.05.2021 17:44:42	3	6	3	3	4	2	1	2	6	5	3	6	6	7	7	5	7	3	6	3	4	6	6	4	6	6	5	6	4
19.05.2021 15:35:23	4	5	5	3	3	3	5	5	4	5	5	6	5	5	6	6	7	6	6	6	7	6	6	6	6	6	6	5	5
21.05.2021 10:35:36	5	3	5	3	6	3	6	3	3	5	4	5	3	4	6	6	5	4	5	5	5	5	4	4	5	4	5	5	4
21.05.2021 12:46:01	6	4	5	5	4	5	6	5	6	5	4	5	5	5	5	6	6	5	6	5	5	6	5	5	5	5	5	5	4
21.05.2021 16:31:34	7	2	5	3	3	2	6	3	5	2	6	5	5	4	3	6	6	6	6	7	4	6	5	5	6	4	5	5	3
25.05.2021 16:08:56	8	5	6	4	3	2	4	3	6	1	1	4	4	5	5	2	3	2	4	2	5	4	4	5	6	6	5	6	3
25.05.2021 17:51:31	9	3	5	4	4	3	4	6	5	3	6	6	6	3	5	7	5	2	7	6	6	6	6	5	5	6	6	5	4
27.05.2021 12:29:46	10	4	3	3	5	6	4	5	3	5	5	4	6	3	5	4	5	2	4	3	6	4	5	5	5	5	4	4	3
31.05.2021 10:19:35	11	3	2	4	3	2	4	3	5	2	3	4	6	4	5	6	6	5	5	6	6	5	4	4	5	3	5	5	3
31.05.2021 12:24:59	12	4	5	3	3	6	5	6	2	4	6	6	4	3	6	6	6	5	5	5	6	6	3	5	5	5	5	5	4
15.06.2021 13:18:51	13	1	7	4	7	6	4	4	4	4	4	4	4	4	3	3	4	1	5	5	5	5	4	4	5	4	5	5	5
16.06.2021 10:18:44	14	3	4	2	2	1	2	2	4	6	4	4	3	2	4	6	6	6	6	3	6	6	3	3	2	5	3	3	2
16.06.2021 13:00:33	15	6	6	5	6	6	4	6	5	4	5	5	5	4	6	6	6	7	7	6	5	7	6	7	6	6	7	6	6
21.06.2021 12:35:48	16	2	4	4	3	2	2	3	4	4	4	4	4	4	4	6	5	4	6	4	5	6	4	4	4	4	6	5	5
21.06.2021 14:27:30	17	3	4	2	3	5	5	6	5	3	4	3	6	5	6	5	6	3	5	4	3	5	5	5	5	6	5	6	3
21.06.2021 19:34:12	18	5	4	5	3	2	5	3	6	3	6	6	7	6	5	6	4	7	4	5	6	5	4	5	4	5	4	4	3
22.06.2021 17:43:31	19	4	5	5	4	5	5	3	6	6	5	5	3	4	5	6	6	6	7	5	5	7	6	5	6	7	6	6	5
24.06.2021 10:43:10	20	3	5	5	2	3	5	3	6	5	5	5	3	4	6	7	6	6	6	5	4	6	5	4	5	6	5	5	5
24.06.2021 12:28:01	21	3	5	4	5	6	5	4	6	5	6	5	6	4	6	7	7	2	6	5	5	6	5	5	6	6	6	5	6
25.06.2021 15:16:17	22	5	6	6	6	5	7	5	6	6	6	6	6	6	7	7	6	6	6	5	5	6	6	6	6	6	6	6	6
29.06.2021 10:12:03	23	3	5	4	5	4	6	3	5	3	4	5	5	5	5	7	6	5	6	4	5	7	5	4	6	5	5	5	4
30.06.2021 14:40:17	24	3	5	3	4	2	4	3	3	5	4	5	3	4	6	5	6	5	6	5	6	6	4	5	4	2	4	3	3
