;Proband;MappingMethod;NumLayers;Completed_Abs;Completed_Rel;Failed_Abs;Failed_Rel;Terminated_Abs;Terminated_Rel;Sum;Sum_Rel
65;4; direct;21;5;0.3333333333333333;0;0.0;10;0.6666666666666666;15;1.0
66;4; widening;6;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
67;4; widening;9;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
68;4; widening;12;4;0.26666666666666666;0;0.0;11;0.7333333333333333;15;1.0
69;4; widening;15;3;0.2;0;0.0;12;0.8;15;1.0
70;4; widening;18;3;0.2;0;0.0;12;0.8;15;1.0
71;4; widening;21;4;0.26666666666666666;0;0.0;11;0.7333333333333333;15;1.0
72;5; densening;6;12;0.8;0;0.0;3;0.2;15;1.0
73;5; densening;9;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
74;5; densening;12;15;1.0;0;0.0;0;0.0;15;1.0
75;5; densening;15;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
76;5; densening;18;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
77;5; densening;21;12;0.8;0;0.0;3;0.2;15;1.0
78;5; direct;6;12;0.8;0;0.0;3;0.2;15;1.0
79;5; direct;9;12;0.8;0;0.0;3;0.2;15;1.0
80;5; direct;12;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
81;5; direct;15;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
82;5; direct;18;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
83;5; direct;21;9;0.6;0;0.0;6;0.4;15;1.0
84;5; widening;6;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
85;5; widening;9;9;0.6;0;0.0;6;0.4;15;1.0
86;5; widening;12;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
87;5; widening;15;10;0.6666666666666666;1;0.06666666666666667;4;0.26666666666666666;15;1.0
88;5; widening;18;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
89;5; widening;21;9;0.6;0;0.0;6;0.4;15;1.0
90;6; densening;6;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
91;6; densening;9;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
92;6; densening;12;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
93;6; densening;15;15;1.0;0;0.0;0;0.0;15;1.0
94;6; densening;18;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
95;6; densening;21;9;0.6;0;0.0;6;0.4;15;1.0
96;6; direct;6;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
97;6; direct;9;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
98;6; direct;12;12;0.8;0;0.0;3;0.2;15;1.0
99;6; direct;15;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
100;6; direct;18;7;0.4666666666666667;0;0.0;8;0.5333333333333333;15;1.0
101;6; direct;21;12;0.8;0;0.0;3;0.2;15;1.0
102;6; widening;6;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
103;6; widening;9;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
104;6; widening;12;9;0.6;0;0.0;6;0.4;15;1.0
105;6; widening;15;11;0.7333333333333333;2;0.13333333333333333;2;0.13333333333333333;15;0.9999999999999999
106;6; widening;18;10;0.6666666666666666;1;0.06666666666666667;4;0.26666666666666666;15;1.0
107;6; widening;21;8;0.5333333333333333;2;0.13333333333333333;5;0.3333333333333333;15;1.0
108;7; densening;6;15;1.0;0;0.0;0;0.0;15;1.0
109;7; densening;9;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
110;7; densening;12;15;1.0;0;0.0;0;0.0;15;1.0
111;7; densening;15;9;0.6;0;0.0;6;0.4;15;1.0
112;7; densening;18;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
113;7; densening;21;7;0.4666666666666667;0;0.0;8;0.5333333333333333;15;1.0
114;7; direct;6;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
115;7; direct;9;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
116;7; direct;12;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
117;7; direct;15;12;0.8;0;0.0;3;0.2;15;1.0
118;7; direct;18;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
119;7; direct;21;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
120;7; widening;6;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
121;7; widening;9;9;0.6;0;0.0;6;0.4;15;1.0
122;7; widening;12;12;0.8;0;0.0;3;0.2;15;1.0
123;7; widening;15;10;0.6666666666666666;1;0.06666666666666667;4;0.26666666666666666;15;1.0
124;7; widening;18;12;0.8;1;0.06666666666666667;2;0.13333333333333333;15;1.0
125;7; widening;21;9;0.6;3;0.2;3;0.2;15;1.0
126;8; densening;6;12;0.8;0;0.0;3;0.2;15;1.0
127;8; densening;9;11;0.7333333333333333;1;0.06666666666666667;3;0.2;15;1.0
128;8; densening;12;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
129;8; densening;15;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
130;8; densening;18;12;0.8;0;0.0;3;0.2;15;1.0
131;8; densening;21;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
132;8; direct;6;9;0.6;0;0.0;6;0.4;15;1.0
133;8; direct;9;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
134;8; direct;12;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
135;8; direct;15;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
136;8; direct;18;9;0.6;0;0.0;6;0.4;15;1.0
137;8; direct;21;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
