;Proband;Block;Task;Trial;Date_Hold;Date_Start;Date_Terminated;Duration;Num_Layers;MappingMethod;Target_Layer
299723;5;2;3;2;2021-05-21T08:02:00.224Z;2021-05-21T08:01:51.507Z;2021-05-21T08:02:00.696Z;0.47200000000000003;21; widening;5
299878;5;2;3;3;2021-05-21T08:02:05.305Z;2021-05-21T08:02:00.773Z;2021-05-21T08:02:06.457Z;1.1520000000000001;21; widening;1
300402;5;2;4;1;2021-05-21T08:02:34.551Z;2021-05-21T08:02:27.948Z;2021-05-21T08:02:34.658Z;0.10700000000000001;15; widening;4
302813;5;2;7;1;2021-05-21T08:04:34.399Z;2021-05-21T08:04:30.239Z;2021-05-21T08:04:35.601Z;1.2020000000000002;12; widening;1
303191;5;2;7;3;2021-05-21T08:04:50.937Z;2021-05-21T08:04:47.394Z;2021-05-21T08:04:51.132Z;0.195;12; widening;11
304508;5;2;8;4;2021-05-21T08:05:53.508Z;2021-05-21T08:05:44.170Z;2021-05-21T08:05:53.933Z;0.42500000000000004;18; widening;1
305242;5;2;9;2;2021-05-21T08:06:27.665Z;2021-05-21T08:06:16.285Z;2021-05-21T08:06:28.398Z;0.7330000000000001;15; widening;1
306112;5;2;10;1;2021-05-21T08:07:10.889Z;2021-05-21T08:07:07.224Z;2021-05-21T08:07:11.551Z;0.662;21; widening;1
306798;5;2;10;4;2021-05-21T08:07:41.435Z;2021-05-21T08:07:34.814Z;2021-05-21T08:07:42.620Z;1.185;21; widening;5
307365;5;2;11;2;2021-05-21T08:08:10.076Z;2021-05-21T08:08:04.697Z;2021-05-21T08:08:11.460Z;1.3840000000000001;12; widening;1
307996;5;2;12;0;2021-05-21T08:08:41.892Z;2021-05-21T08:08:36.245Z;2021-05-21T08:08:42.868Z;0.9760000000000001;18; widening;5
308283;5;2;12;1;2021-05-21T08:08:54.848Z;2021-05-21T08:08:45.199Z;2021-05-21T08:08:56.221Z;1.373;18; widening;1
308773;5;2;12;3;2021-05-21T08:09:16.954Z;2021-05-21T08:09:09.209Z;2021-05-21T08:09:18.155Z;1.201;18; widening;9
309406;5;2;13;2;2021-05-21T08:09:48.161Z;2021-05-21T08:09:45.398Z;2021-05-21T08:09:48.541Z;0.38;6; widening;2
309711;5;2;13;4;2021-05-21T08:10:01.598Z;2021-05-21T08:09:56.741Z;2021-05-21T08:10:02.553Z;0.9550000000000001;6; widening;1
309922;5;2;14;0;2021-05-21T08:10:14.503Z;2021-05-21T08:10:07.604Z;2021-05-21T08:10:15.701Z;1.1980000000000002;21; widening;1
310421;5;2;14;2;2021-05-21T08:10:37.053Z;2021-05-21T08:10:30.348Z;2021-05-21T08:10:37.665Z;0.612;21; widening;5
311350;5;2;15;1;2021-05-21T08:11:21.975Z;2021-05-21T08:11:17.438Z;2021-05-21T08:11:23.233Z;1.258;18; widening;1
312180;5;2;16;0;2021-05-21T08:12:02.680Z;2021-05-21T08:11:59.086Z;2021-05-21T08:12:02.786Z;0.10600000000000001;9; widening;2
312503;5;2;16;2;2021-05-21T08:12:20.696Z;2021-05-21T08:12:14.823Z;2021-05-21T08:12:20.831Z;0.135;9; widening;5
312820;5;2;16;4;2021-05-21T08:12:35.740Z;2021-05-21T08:12:31.914Z;2021-05-21T08:12:35.849Z;0.10900000000000001;9; widening;1
313313;5;2;17;2;2021-05-21T08:13:02.414Z;2021-05-21T08:12:56.611Z;2021-05-21T08:13:02.479Z;0.065;12; widening;1
314204;5;2;18;2;2021-05-21T08:13:49.969Z;2021-05-21T08:13:46.179Z;2021-05-21T08:13:50.021Z;0.052000000000000005;9; widening;1
315244;5;3;1;2;2021-05-21T08:17:10.398Z;2021-05-21T08:17:05.139Z;2021-05-21T08:17:10.729Z;0.331;12; direct;3
316054;5;3;2;1;2021-05-21T08:17:49.828Z;2021-05-21T08:17:44.552Z;2021-05-21T08:17:50.242Z;0.41400000000000003;21; direct;5
316520;5;3;2;3;2021-05-21T08:18:09.737Z;2021-05-21T08:18:02.736Z;2021-05-21T08:18:11.040Z;1.3030000000000002;21; direct;1
317059;5;3;3;2;2021-05-21T08:18:37.664Z;2021-05-21T08:18:34.093Z;2021-05-21T08:18:37.748Z;0.084;6; direct;5
319049;5;3;5;4;2021-05-21T08:20:14.928Z;2021-05-21T08:20:10.847Z;2021-05-21T08:20:15.334Z;0.406;6; direct;5
319284;5;3;6;0;2021-05-21T08:20:26.998Z;2021-05-21T08:20:19.322Z;2021-05-21T08:20:28.218Z;1.22;21; direct;1
320238;5;3;6;3;2021-05-21T08:21:06.306Z;2021-05-21T08:20:59.045Z;2021-05-21T08:21:07.530Z;1.224;21; direct;20
320652;5;3;7;1;2021-05-21T08:21:30.342Z;2021-05-21T08:21:25.750Z;2021-05-21T08:21:30.433Z;0.09100000000000001;9; direct;8
321122;5;3;7;4;2021-05-21T08:21:53.095Z;2021-05-21T08:21:45.852Z;2021-05-21T08:21:53.177Z;0.082;9; direct;7
321626;5;3;8;1;2021-05-21T08:22:20.321Z;2021-05-21T08:22:11.869Z;2021-05-21T08:22:21.289Z;0.9680000000000001;18; direct;1
323725;5;3;10;2;2021-05-21T08:23:58.814Z;2021-05-21T08:23:55.526Z;2021-05-21T08:23:59.202Z;0.388;6; direct;5
324545;5;3;11;1;2021-05-21T08:24:38.014Z;2021-05-21T08:24:31.093Z;2021-05-21T08:24:38.963Z;0.9490000000000001;21; direct;1
324985;5;3;11;3;2021-05-21T08:24:58.828Z;2021-05-21T08:24:53.027Z;2021-05-21T08:24:58.909Z;0.081;21; direct;20
325405;5;3;12;0;2021-05-21T08:25:22.603Z;2021-05-21T08:25:14.958Z;2021-05-21T08:25:23.128Z;0.525;18; direct;17
325983;5;3;12;3;2021-05-21T08:25:48.212Z;2021-05-21T08:25:41.097Z;2021-05-21T08:25:49.700Z;1.488;18; direct;1
327670;5;3;14;1;2021-05-21T08:27:07.642Z;2021-05-21T08:26:59.522Z;2021-05-21T08:27:08.552Z;0.91;18; direct;1
328191;5;3;14;3;2021-05-21T08:27:29.630Z;2021-05-21T08:27:19.435Z;2021-05-21T08:27:31.112Z;1.482;18; direct;17
329049;5;3;15;3;2021-05-21T08:28:14.589Z;2021-05-21T08:28:08.546Z;2021-05-21T08:28:15.153Z;0.5640000000000001;12; direct;9
329620;5;3;16;1;2021-05-21T08:28:41.633Z;2021-05-21T08:28:37.488Z;2021-05-21T08:28:42.737Z;1.104;15; direct;4
330185;5;3;16;4;2021-05-21T08:29:09.335Z;2021-05-21T08:29:02.137Z;2021-05-21T08:29:09.509Z;0.17400000000000002;15; direct;1
330474;5;3;17;0;2021-05-21T08:29:24.041Z;2021-05-21T08:29:14.090Z;2021-05-21T08:29:24.984Z;0.9430000000000001;15; direct;1
330823;5;3;17;2;2021-05-21T08:29:40.471Z;2021-05-21T08:29:35.169Z;2021-05-21T08:29:41.450Z;0.9790000000000001;15; direct;4
331108;5;3;17;3;2021-05-21T08:29:52.444Z;2021-05-21T08:29:42.567Z;2021-05-21T08:29:53.218Z;0.774;15; direct;14
331559;5;3;18;1;2021-05-21T08:30:18.322Z;2021-05-21T08:30:14.164Z;2021-05-21T08:30:18.511Z;0.189;9; direct;8
334629;6;1;2;1;2021-05-21T09:32:14.623Z;2021-05-21T09:31:41.095Z;2021-05-21T09:32:14.699Z;0.076;9; densening;8
336759;6;1;3;4;2021-05-21T09:34:16.513Z;2021-05-21T09:34:04.482Z;2021-05-21T09:34:17.562Z;1.0490000000000002;21; densening;20
337928;6;1;4;3;2021-05-21T09:35:35.641Z;2021-05-21T09:35:25.325Z;2021-05-21T09:35:36.108Z;0.467;12; densening;11
340608;6;1;6;1;2021-05-21T09:38:01.287Z;2021-05-21T09:37:52.171Z;2021-05-21T09:38:01.346Z;0.059000000000000004;21; densening;5
341211;6;1;6;3;2021-05-21T09:38:30.823Z;2021-05-21T09:38:21.306Z;2021-05-21T09:38:31.563Z;0.74;21; densening;16
341808;6;1;7;1;2021-05-21T09:39:09.371Z;2021-05-21T09:39:02.088Z;2021-05-21T09:39:10.298Z;0.927;18; densening;1
342071;6;1;7;2;2021-05-21T09:39:27.618Z;2021-05-21T09:39:18.052Z;2021-05-21T09:39:27.763Z;0.14500000000000002;18; densening;17
342222;6;1;7;3;2021-05-21T09:39:40.001Z;2021-05-21T09:39:34.604Z;2021-05-21T09:39:40.079Z;0.078;18; densening;14
343976;6;1;9;0;2021-05-21T09:41:56.869Z;2021-05-21T09:41:50.975Z;2021-05-21T09:41:57.408Z;0.539;6; densening;5
345364;6;1;10;2;2021-05-21T09:43:18.085Z;2021-05-21T09:43:14.723Z;2021-05-21T09:43:18.473Z;0.388;6; densening;2
347012;6;1;12;0;2021-05-21T09:45:35.365Z;2021-05-21T09:45:28.336Z;2021-05-21T09:45:35.370Z;0.005;21; densening;16
347152;6;1;12;1;2021-05-21T09:45:42.216Z;2021-05-21T09:45:37.476Z;2021-05-21T09:45:42.678Z;0.462;21; densening;1
347937;6;1;12;4;2021-05-21T09:46:18.612Z;2021-05-21T09:46:09.907Z;2021-05-21T09:46:19.531Z;0.919;21; densening;20
348931;6;1;13;3;2021-05-21T09:47:34.903Z;2021-05-21T09:47:23.759Z;2021-05-21T09:47:35.554Z;0.651;12; densening;11
351386;6;1;16;1;2021-05-21T09:50:01.094Z;2021-05-21T09:49:54.354Z;2021-05-21T09:50:01.922Z;0.8280000000000001;18; densening;5
351479;6;1;16;2;2021-05-21T09:50:10.806Z;2021-05-21T09:50:07.736Z;2021-05-21T09:50:11.110Z;0.304;18; densening;1
351749;6;1;16;3;2021-05-21T09:50:23.257Z;2021-05-21T09:50:14.027Z;2021-05-21T09:50:24.136Z;0.879;18; densening;17
353792;6;1;18;3;2021-05-21T09:52:08.303Z;2021-05-21T09:52:03.296Z;2021-05-21T09:52:08.858Z;0.555;18; densening;5
355351;6;2;1;3;2021-05-21T09:57:56.427Z;2021-05-21T09:57:44.358Z;2021-05-21T09:57:57.501Z;1.074;18; direct;1
356510;6;2;2;3;2021-05-21T09:59:01.949Z;2021-05-21T09:58:55.510Z;2021-05-21T09:59:01.956Z;0.007;12; direct;9
358003;6;2;3;4;2021-05-21T10:00:34.974Z;2021-05-21T10:00:30.472Z;2021-05-21T10:00:35.546Z;0.5720000000000001;15; direct;4
358638;6;2;4;2;2021-05-21T10:01:08.478Z;2021-05-21T10:01:03.975Z;2021-05-21T10:01:09.385Z;0.907;15; direct;1
359018;6;2;4;4;2021-05-21T10:01:27.797Z;2021-05-21T10:01:22.709Z;2021-05-21T10:01:27.880Z;0.083;15; direct;4
360023;6;2;6;0;2021-05-21T10:02:28.404Z;2021-05-21T10:02:22.077Z;2021-05-21T10:02:28.631Z;0.227;9; direct;8
360127;6;2;6;1;2021-05-21T10:02:33.870Z;2021-05-21T10:02:31.547Z;2021-05-21T10:02:35.311Z;1.441;9; direct;1
360932;6;2;7;0;2021-05-21T10:03:16.320Z;2021-05-21T10:03:09.712Z;2021-05-21T10:03:17.307Z;0.9870000000000001;18; direct;9
361048;6;2;7;1;2021-05-21T10:03:24.117Z;2021-05-21T10:03:19.922Z;2021-05-21T10:03:24.137Z;0.02;18; direct;1
361299;6;2;7;2;2021-05-21T10:03:34.325Z;2021-05-21T10:03:26.153Z;2021-05-21T10:03:35.483Z;1.1580000000000001;18; direct;14
361450;6;2;7;3;2021-05-21T10:03:43.149Z;2021-05-21T10:03:37.792Z;2021-05-21T10:03:43.230Z;0.081;18; direct;5
362200;6;2;8;2;2021-05-21T10:04:23.354Z;2021-05-21T10:04:19.703Z;2021-05-21T10:04:23.542Z;0.188;15; direct;4
362855;6;2;8;4;2021-05-21T10:04:52.119Z;2021-05-21T10:04:39.027Z;2021-05-21T10:04:53.051Z;0.932;15; direct;1
365332;6;2;11;0;2021-05-21T10:07:34.879Z;2021-05-21T10:07:30.170Z;2021-05-21T10:07:36.275Z;1.3960000000000001;12; direct;1
366634;6;2;12;1;2021-05-21T10:08:41.943Z;2021-05-21T10:08:30.200Z;2021-05-21T10:08:41.963Z;0.02;9; direct;8
368000;6;2;13;2;2021-05-21T10:09:49.670Z;2021-05-21T10:09:43.393Z;2021-05-21T10:09:50.907Z;1.237;12; direct;9
368622;6;2;14;0;2021-05-21T10:10:26.450Z;2021-05-21T10:10:19.870Z;2021-05-21T10:10:26.852Z;0.402;18; direct;17
368786;6;2;14;1;2021-05-21T10:10:34.778Z;2021-05-21T10:10:29.077Z;2021-05-21T10:10:35.096Z;0.318;18; direct;5
369214;6;2;14;3;2021-05-21T10:10:55.158Z;2021-05-21T10:10:47.747Z;2021-05-21T10:10:55.259Z;0.101;18; direct;14
369931;6;2;15;2;2021-05-21T10:11:59.076Z;2021-05-21T10:11:53.206Z;2021-05-21T10:11:59.147Z;0.07100000000000001;9; direct;8
370044;6;2;15;3;2021-05-21T10:12:05.480Z;2021-05-21T10:12:01.396Z;2021-05-21T10:12:05.504Z;0.024;9; direct;2
371269;6;2;16;2;2021-05-21T10:13:22.800Z;2021-05-21T10:13:16.072Z;2021-05-21T10:13:23.388Z;0.5880000000000001;21; direct;20
373059;6;2;17;1;2021-05-21T10:14:59.713Z;2021-05-21T10:14:25.231Z;2021-05-21T10:15:00.115Z;0.402;21; direct;16
373716;6;2;17;4;2021-05-21T10:15:40.228Z;2021-05-21T10:15:34.841Z;2021-05-21T10:15:41.600Z;1.372;21; direct;5
374004;6;2;18;1;2021-05-21T10:15:59.885Z;2021-05-21T10:15:56.702Z;2021-05-21T10:15:59.921Z;0.036000000000000004;6; direct;2
374152;6;2;18;2;2021-05-21T10:16:07.330Z;2021-05-21T10:16:02.144Z;2021-05-21T10:16:07.778Z;0.448;6; direct;5
381958;6;3;1;1;2021-05-21T10:21:19.585Z;2021-05-21T10:21:13.588Z;2021-05-21T10:21:20.033Z;0.448;9; widening;8
382119;6;3;1;2;2021-05-21T10:21:27.465Z;2021-05-21T10:21:21.771Z;2021-05-21T10:21:27.619Z;0.154;9; widening;1
383275;6;3;2;3;2021-05-21T10:22:24.547Z;2021-05-21T10:22:16.088Z;2021-05-21T10:22:25.685Z;1.1380000000000001;12; widening;1
384265;6;3;3;2;2021-05-21T10:23:46.010Z;2021-05-21T10:23:41.202Z;2021-05-21T10:23:47.234Z;1.224;15; widening;4
385351;6;3;4;1;2021-05-21T10:24:40.169Z;2021-05-21T10:24:33.574Z;2021-05-21T10:24:40.995Z;0.8260000000000001;18; widening;14
385591;6;3;4;2;2021-05-21T10:24:50.991Z;2021-05-21T10:24:43.142Z;2021-05-21T10:24:52.256Z;1.2650000000000001;18; widening;1
387293;6;3;6;2;2021-05-21T10:26:19.165Z;2021-05-21T10:26:14.769Z;2021-05-21T10:26:19.673Z;0.508;12; widening;3
387556;6;3;6;3;2021-05-21T10:26:30.500Z;2021-05-21T10:26:21.538Z;2021-05-21T10:26:31.364Z;0.8640000000000001;12; widening;1
388188;6;3;7;0;2021-05-21T10:27:07.767Z;2021-05-21T10:26:54.580Z;2021-05-21T10:27:07.786Z;0.019;9; widening;1
388366;6;3;7;1;2021-05-21T10:27:16.446Z;2021-05-21T10:27:10.854Z;2021-05-21T10:27:17.423Z;0.9770000000000001;9; widening;2
390598;6;3;8;2;2021-05-21T10:29:07.989Z;2021-05-21T10:29:02.631Z;2021-05-21T10:29:08.869Z;0.88;21; widening;11
390811;6;3;8;3;2021-05-21T10:29:18.948Z;2021-05-21T10:29:11.124Z;2021-05-21T10:29:18.956Z;0.008;21; widening;20
391515;6;3;9;2;2021-05-21T10:30:06.140Z;2021-05-21T10:30:01.668Z;2021-05-21T10:30:06.657Z;0.517;6; widening;1
392518;6;3;10;2;2021-05-21T10:31:09.523Z;2021-05-21T10:31:02.538Z;2021-05-21T10:31:09.719Z;0.196;21; widening;1
392986;6;3;10;3;2021-05-21T10:31:29.981Z;2021-05-21T10:31:12.573Z;2021-05-21T10:31:30.282Z;0.30100000000000005;21; widening;5
395002;6;3;11;4;2021-05-21T10:33:05.584Z;2021-05-21T10:32:58.761Z;2021-05-21T10:33:05.813Z;0.229;21; widening;5
396255;6;3;12;1;2021-05-21T10:34:08.558Z;2021-05-21T10:33:56.226Z;2021-05-21T10:34:08.999Z;0.441;18; widening;1
396644;6;3;12;3;2021-05-21T10:34:45.295Z;2021-05-21T10:34:39.043Z;2021-05-21T10:34:45.933Z;0.638;18; widening;9
397697;6;3;13;2;2021-05-21T10:36:00.281Z;2021-05-21T10:35:56.061Z;2021-05-21T10:36:01.236Z;0.9550000000000001;9; widening;2
399897;6;3;15;1;2021-05-21T10:38:04.618Z;2021-05-21T10:37:51.753Z;2021-05-21T10:38:05.825Z;1.207;12; widening;1
400017;6;3;15;2;2021-05-21T10:38:13.042Z;2021-05-21T10:38:08.666Z;2021-05-21T10:38:13.101Z;0.059000000000000004;12; widening;6
400467;6;3;15;3;2021-05-21T10:38:32.038Z;2021-05-21T10:38:15.484Z;2021-05-21T10:38:32.620Z;0.5820000000000001;12; widening;9
401385;6;3;16;2;2021-05-21T10:39:13.119Z;2021-05-21T10:39:06.513Z;2021-05-21T10:39:13.781Z;0.662;15; widening;1
405868;7;1;2;2;2021-05-21T12:52:07.265Z;2021-05-21T12:51:58.792Z;2021-05-21T12:52:07.464Z;0.199;15; widening;14
406088;7;1;2;3;2021-05-21T12:52:18.829Z;2021-05-21T12:52:10.918Z;2021-05-21T12:52:18.990Z;0.161;15; widening;1
408381;7;1;4;1;2021-05-21T12:55:31.103Z;2021-05-21T12:55:24.932Z;2021-05-21T12:55:31.246Z;0.14300000000000002;12; widening;11
409609;7;1;5;1;2021-05-21T12:57:12.886Z;2021-05-21T12:57:03.255Z;2021-05-21T12:57:13.921Z;1.0350000000000001;21; widening;1
410634;7;1;6;1;2021-05-21T12:58:12.372Z;2021-05-21T12:58:08.130Z;2021-05-21T12:58:12.426Z;0.054000000000000006;6; widening;4
410747;7;1;6;2;2021-05-21T12:58:20.629Z;2021-05-21T12:58:16.697Z;2021-05-21T12:58:20.806Z;0.17700000000000002;6; widening;5
411862;7;1;7;3;2021-05-21T12:59:35.772Z;2021-05-21T12:59:29.101Z;2021-05-21T12:59:35.839Z;0.067;9; widening;7
413539;7;1;8;4;2021-05-21T13:01:08.922Z;2021-05-21T13:01:00.204Z;2021-05-21T13:01:09.635Z;0.7130000000000001;18; widening;1
414244;7;1;9;2;2021-05-21T13:01:59.361Z;2021-05-21T13:01:50.794Z;2021-05-21T13:01:59.392Z;0.031000000000000003;18; widening;1
417095;7;1;11;1;2021-05-21T13:05:12.073Z;2021-05-21T13:05:04.735Z;2021-05-21T13:05:13.127Z;1.054;9; widening;1
417219;7;1;11;2;2021-05-21T13:05:38.735Z;2021-05-21T13:05:35.653Z;2021-05-21T13:05:40.142Z;1.407;9; widening;2
417765;7;1;12;0;2021-05-21T13:06:27.486Z;2021-05-21T13:06:23.062Z;2021-05-21T13:06:27.617Z;0.131;6; widening;5
419418;7;1;13;2;2021-05-21T13:08:03.501Z;2021-05-21T13:07:55.544Z;2021-05-21T13:08:04.880Z;1.379;21; widening;1
420009;7;1;13;4;2021-05-21T13:09:39.849Z;2021-05-21T13:09:32.059Z;2021-05-21T13:09:40.142Z;0.29300000000000004;21; widening;11
420301;7;1;14;0;2021-05-21T13:10:00.616Z;2021-05-21T13:09:49.833Z;2021-05-21T13:10:00.784Z;0.168;15; widening;1
421600;7;1;15;0;2021-05-21T13:11:08.591Z;2021-05-21T13:11:03.865Z;2021-05-21T13:11:09.809Z;1.218;9; widening;2
421742;7;1;15;1;2021-05-21T13:11:39.994Z;2021-05-21T13:11:35.282Z;2021-05-21T13:11:40.672Z;0.678;9; widening;1
422157;7;1;15;3;2021-05-21T13:12:05.056Z;2021-05-21T13:11:58.392Z;2021-05-21T13:12:05.105Z;0.049;9; widening;8
422586;7;1;16;0;2021-05-21T13:12:35.831Z;2021-05-21T13:12:31.414Z;2021-05-21T13:12:35.871Z;0.04;6; widening;4
423136;7;1;16;3;2021-05-21T13:13:10.189Z;2021-05-21T13:13:03.692Z;2021-05-21T13:13:10.897Z;0.7080000000000001;6; widening;5
423677;7;1;17;1;2021-05-21T13:13:45.243Z;2021-05-21T13:13:40.906Z;2021-05-21T13:13:45.693Z;0.45;12; widening;3
425407;7;1;17;4;2021-05-21T13:15:25.641Z;2021-05-21T13:15:19.794Z;2021-05-21T13:15:25.963Z;0.322;12; widening;1
426538;7;1;18;3;2021-05-21T13:16:26.794Z;2021-05-21T13:16:15.940Z;2021-05-21T13:16:27.658Z;0.8640000000000001;15; widening;11
428132;7;2;1;1;2021-05-21T13:32:36.042Z;2021-05-21T13:32:30.186Z;2021-05-21T13:32:36.296Z;0.254;9; direct;7
428264;7;2;1;2;2021-05-21T13:32:44.495Z;2021-05-21T13:32:40.063Z;2021-05-21T13:32:44.738Z;0.24300000000000002;9; direct;5
428944;7;2;2;0;2021-05-21T13:33:28.021Z;2021-05-21T13:33:20.663Z;2021-05-21T13:33:28.358Z;0.337;21; direct;5
429557;7;2;2;2;2021-05-21T13:33:59.686Z;2021-05-21T13:33:43.947Z;2021-05-21T13:34:00.134Z;0.448;21; direct;20
430853;7;2;3;2;2021-05-21T13:35:12.096Z;2021-05-21T13:35:07.245Z;2021-05-21T13:35:12.842Z;0.746;12; direct;6
431518;7;2;3;4;2021-05-21T13:36:09.687Z;2021-05-21T13:36:01.548Z;2021-05-21T13:36:09.825Z;0.138;12; direct;1
432250;7;2;4;2;2021-05-21T13:36:51.842Z;2021-05-21T13:36:47.108Z;2021-05-21T13:36:52.594Z;0.752;15; direct;1
434990;7;2;6;3;2021-05-21T13:39:05.504Z;2021-05-21T13:39:00.959Z;2021-05-21T13:39:06.009Z;0.505;18; direct;1
435769;7;2;7;3;2021-05-21T13:39:46.418Z;2021-05-21T13:39:43.754Z;2021-05-21T13:39:46.425Z;0.007;6; direct;5
436100;7;2;8;0;2021-05-21T13:40:04.687Z;2021-05-21T13:40:02.073Z;2021-05-21T13:40:06.015Z;1.328;12; direct;1
437446;7;2;9;0;2021-05-21T13:41:11.490Z;2021-05-21T13:41:01.535Z;2021-05-21T13:41:12.703Z;1.213;15; direct;14
439534;7;2;10;4;2021-05-21T13:42:59.929Z;2021-05-21T13:42:54.494Z;2021-05-21T13:43:01.187Z;1.258;12; direct;1
440087;7;2;11;1;2021-05-21T13:43:29.672Z;2021-05-21T13:43:22.357Z;2021-05-21T13:43:30.446Z;0.774;21; direct;5
440356;7;2;11;2;2021-05-21T13:43:41.385Z;2021-05-21T13:43:32.582Z;2021-05-21T13:43:42.492Z;1.107;21; direct;11
441426;7;2;12;1;2021-05-21T13:44:44.072Z;2021-05-21T13:44:40.349Z;2021-05-21T13:44:44.236Z;0.164;6; direct;2
441551;7;2;12;2;2021-05-21T13:44:52.879Z;2021-05-21T13:44:48.486Z;2021-05-21T13:44:53.073Z;0.194;6; direct;5
441722;7;2;12;3;2021-05-21T13:45:01.642Z;2021-05-21T13:44:55.694Z;2021-05-21T13:45:01.823Z;0.18100000000000002;6; direct;4
443772;7;2;14;2;2021-05-21T13:47:47.659Z;2021-05-21T13:47:42.360Z;2021-05-21T13:47:48.352Z;0.6930000000000001;15; direct;1
445190;7;2;15;3;2021-05-21T13:48:58.613Z;2021-05-21T13:48:54.739Z;2021-05-21T13:48:59.810Z;1.197;18; direct;9
445335;7;2;15;4;2021-05-21T13:49:07.310Z;2021-05-21T13:49:02.645Z;2021-05-21T13:49:08.165Z;0.8550000000000001;18; direct;1
446418;7;2;16;3;2021-05-21T13:50:00.045Z;2021-05-21T13:49:54.839Z;2021-05-21T13:50:01.473Z;1.4280000000000002;18; direct;5
446657;7;2;16;4;2021-05-21T13:50:12.440Z;2021-05-21T13:50:03.659Z;2021-05-21T13:50:12.545Z;0.10500000000000001;18; direct;1
447982;7;2;18;0;2021-05-21T13:52:01.992Z;2021-05-21T13:51:55.575Z;2021-05-21T13:52:02.147Z;0.155;6; direct;5
449696;7;3;1;3;2021-05-21T13:58:38.340Z;2021-05-21T13:58:27.508Z;2021-05-21T13:58:38.909Z;0.5690000000000001;15; densening;14
449924;7;3;1;4;2021-05-21T13:58:50.996Z;2021-05-21T13:58:42.974Z;2021-05-21T13:58:51.512Z;0.516;15; densening;8
450567;7;3;2;1;2021-05-21T13:59:38.939Z;2021-05-21T13:59:24.363Z;2021-05-21T13:59:39.556Z;0.617;21; densening;20
450767;7;3;2;2;2021-05-21T13:59:48.129Z;2021-05-21T13:59:41.730Z;2021-05-21T13:59:49.110Z;0.9810000000000001;21; densening;11
450903;7;3;2;3;2021-05-21T13:59:55.647Z;2021-05-21T13:59:51.136Z;2021-05-21T13:59:55.987Z;0.34;21; densening;1
451961;7;3;3;2;2021-05-21T14:00:45.992Z;2021-05-21T14:00:37.312Z;2021-05-21T14:00:46.574Z;0.5820000000000001;21; densening;11
452096;7;3;3;3;2021-05-21T14:00:52.661Z;2021-05-21T14:00:48.455Z;2021-05-21T14:00:53.308Z;0.647;21; densening;1
452317;7;3;3;4;2021-05-21T14:01:03.185Z;2021-05-21T14:00:55.204Z;2021-05-21T14:01:03.225Z;0.04;21; densening;20
456621;7;3;7;3;2021-05-21T14:05:08.498Z;2021-05-21T14:04:57.215Z;2021-05-21T14:05:08.534Z;0.036000000000000004;21; densening;16
456856;7;3;7;4;2021-05-21T14:05:17.858Z;2021-05-21T14:05:10.903Z;2021-05-21T14:05:19.304Z;1.4460000000000002;21; densening;5
459462;7;3;9;2;2021-05-21T14:08:06.061Z;2021-05-21T14:07:59.132Z;2021-05-21T14:08:06.922Z;0.8610000000000001;15; densening;11
459810;7;3;9;3;2021-05-21T14:08:21.728Z;2021-05-21T14:08:09.496Z;2021-05-21T14:08:22.350Z;0.622;15; densening;14
460593;7;3;10;3;2021-05-21T14:09:05.842Z;2021-05-21T14:09:02.447Z;2021-05-21T14:09:05.862Z;0.02;9; densening;1
461217;7;3;11;1;2021-05-21T14:09:41.550Z;2021-05-21T14:09:36.524Z;2021-05-21T14:09:41.593Z;0.043000000000000003;18; densening;1
461590;7;3;11;3;2021-05-21T14:10:03.890Z;2021-05-21T14:09:56.978Z;2021-05-21T14:10:04.703Z;0.8130000000000001;18; densening;9
468483;7;3;16;1;2021-05-21T14:21:13.331Z;2021-05-21T14:21:07.894Z;2021-05-21T14:21:14.162Z;0.8310000000000001;15; densening;8
469032;7;3;16;2;2021-05-21T14:21:36.723Z;2021-05-21T14:21:17.255Z;2021-05-21T14:21:37.593Z;0.8700000000000001;15; densening;1
471918;8;1;1;1;2021-05-25T12:32:13.008Z;2021-05-25T12:32:01.312Z;2021-05-25T12:32:13.275Z;0.267;15; densening;11
473442;8;1;2;1;2021-05-25T12:33:44.897Z;2021-05-25T12:33:38.132Z;2021-05-25T12:33:44.977Z;0.08;21; densening;5
473768;8;1;2;2;2021-05-25T12:34:00.094Z;2021-05-25T12:33:47.927Z;2021-05-25T12:34:00.237Z;0.14300000000000002;21; densening;20
474006;8;1;2;3;2021-05-25T12:34:12.700Z;2021-05-25T12:34:04.007Z;2021-05-25T12:34:13.087Z;0.387;21; densening;11
475339;8;1;3;2;2021-05-25T12:36:05.957Z;2021-05-25T12:35:59.287Z;2021-05-25T12:36:05.964Z;0.007;18; densening;9
476201;8;1;3;3;2021-05-25T12:36:41.687Z;2021-05-25T12:36:09.346Z;2021-05-25T12:36:42.049Z;0.36200000000000004;18; densening;14
476725;8;1;4;0;2021-05-25T12:37:37.064Z;2021-05-25T12:37:27.591Z;2021-05-25T12:37:38.015Z;0.9510000000000001;9; densening;1
478933;8;1;5;3;2021-05-25T12:39:38.869Z;2021-05-25T12:39:33.198Z;2021-05-25T12:39:39.014Z;0.14500000000000002;15; densening;14
481182;8;1;6;4;2021-05-25T12:43:06.072Z;2021-05-25T12:42:56.572Z;2021-05-25T12:43:06.680Z;0.608;9; densening;7
