;Proband;Block;Task;Trial;Date_Hold;Date_Start;Date_Terminated;Duration;Num_Layers;MappingMethod;Target_Layer
32087;1;2;14;3;2021-05-10T12:42:59.970Z;2021-05-10T12:42:55.038Z;2021-05-10T12:43:00.348Z;0.378;18; densening;5
32890;1;2;15;2;2021-05-10T12:44:13.453Z;2021-05-10T12:44:09.340Z;2021-05-10T12:44:13.661Z;0.20800000000000002;12; densening;3
33237;1;2;15;4;2021-05-10T12:44:28.946Z;2021-05-10T12:44:21.669Z;2021-05-10T12:44:29.409Z;0.463;12; densening;11
33682;1;2;16;2;2021-05-10T12:44:52.879Z;2021-05-10T12:44:49.342Z;2021-05-10T12:44:53.091Z;0.21200000000000002;6; densening;3
33927;1;2;16;4;2021-05-10T12:45:05.246Z;2021-05-10T12:45:02.584Z;2021-05-10T12:45:05.307Z;0.061000000000000006;6; densening;1
34072;1;2;17;0;2021-05-10T12:45:14.207Z;2021-05-10T12:45:08.990Z;2021-05-10T12:45:14.417Z;0.21000000000000002;18; densening;5
34455;1;2;17;2;2021-05-10T12:45:31.827Z;2021-05-10T12:45:23.847Z;2021-05-10T12:45:31.856Z;0.029;18; densening;17
34612;1;2;17;3;2021-05-10T12:45:39.099Z;2021-05-10T12:45:33.543Z;2021-05-10T12:45:39.290Z;0.191;18; densening;14
35402;1;2;18;3;2021-05-10T12:46:18.280Z;2021-05-10T12:46:14.823Z;2021-05-10T12:46:18.350Z;0.07;9; densening;5
35529;1;2;18;4;2021-05-10T12:46:24.337Z;2021-05-10T12:46:19.816Z;2021-05-10T12:46:24.470Z;0.133;9; densening;8
35869;1;3;1;1;2021-05-10T12:47:55.974Z;2021-05-10T12:47:51.496Z;2021-05-10T12:47:56.958Z;0.9840000000000001;6; widening;2
35988;1;3;1;2;2021-05-10T12:48:02.814Z;2021-05-10T12:47:58.521Z;2021-05-10T12:48:02.934Z;0.12000000000000001;6; widening;5
36084;1;3;1;3;2021-05-10T12:48:07.960Z;2021-05-10T12:48:04.635Z;2021-05-10T12:48:08.094Z;0.134;6; widening;1
36203;1;3;1;4;2021-05-10T12:48:13.597Z;2021-05-10T12:48:09.856Z;2021-05-10T12:48:14.332Z;0.7350000000000001;6; widening;3
36630;1;3;2;1;2021-05-10T12:48:36.324Z;2021-05-10T12:48:29.410Z;2021-05-10T12:48:36.448Z;0.12400000000000001;21; widening;1
37228;1;3;2;4;2021-05-10T12:49:03.358Z;2021-05-10T12:48:56.569Z;2021-05-10T12:49:03.397Z;0.039;21; widening;5
37603;1;3;3;2;2021-05-10T12:49:22.801Z;2021-05-10T12:49:19.627Z;2021-05-10T12:49:23.389Z;0.5880000000000001;9; widening;5
37753;1;3;3;3;2021-05-10T12:49:29.803Z;2021-05-10T12:49:25.110Z;2021-05-10T12:49:30.557Z;0.754;9; widening;2
37915;1;3;3;4;2021-05-10T12:49:37.228Z;2021-05-10T12:49:32.359Z;2021-05-10T12:49:38.398Z;1.1700000000000002;9; widening;1
38078;1;3;4;0;2021-05-10T12:49:48.067Z;2021-05-10T12:49:42.100Z;2021-05-10T12:49:48.245Z;0.17800000000000002;21; widening;5
38318;1;3;4;1;2021-05-10T12:49:58.644Z;2021-05-10T12:49:50.043Z;2021-05-10T12:49:58.886Z;0.24200000000000002;21; widening;11
39157;1;3;5;0;2021-05-10T12:50:38.586Z;2021-05-10T12:50:33.851Z;2021-05-10T12:50:38.615Z;0.029;12; widening;3
40018;1;3;6;0;2021-05-10T12:51:21.081Z;2021-05-10T12:51:16.516Z;2021-05-10T12:51:21.154Z;0.07300000000000001;9; widening;1
41227;1;3;7;2;2021-05-10T12:52:18.394Z;2021-05-10T12:52:14.160Z;2021-05-10T12:52:18.526Z;0.132;12; widening;1
41627;1;3;7;4;2021-05-10T12:52:36.761Z;2021-05-10T12:52:28.924Z;2021-05-10T12:52:37.146Z;0.385;12; widening;3
42482;1;3;8;3;2021-05-10T12:53:16.359Z;2021-05-10T12:53:10.993Z;2021-05-10T12:53:16.733Z;0.374;21; widening;11
42679;1;3;8;4;2021-05-10T12:53:25.048Z;2021-05-10T12:53:18.442Z;2021-05-10T12:53:25.751Z;0.7030000000000001;21; widening;16
