;Duration_Minutes
count;23.0
mean;74.37463768115941
std;16.996231660152972
min;53.85
5%;57.06333333333333
10%;58.02333333333333
25%;63.09166666666667
50%;69.1
75%;78.74166666666667
90%;98.68666666666668
95%;112.85833333333332
99%;115.58
max;115.98333333333333
ci95_hi;81.32079788131782
ci95_lo;67.42847748100101
iqr;15.650000000000006
lower_bound;39.61666666666666
upper_bound;102.21666666666668
lower_whisker;53.85
upper_whisker;101.23333333333333
