;Proband;1_ densening_6;1_ densening_9;1_ densening_12;1_ densening_15;1_ densening_18;1_ densening_21;1_ direct_6;1_ direct_9;1_ direct_12;1_ direct_15;1_ direct_18;1_ direct_21;1_ widening_6;1_ widening_9;1_ widening_12;1_ widening_15;1_ widening_18;1_ widening_21;2_ densening_6;2_ densening_9;2_ densening_12;2_ densening_15;2_ densening_18;2_ densening_21;2_ direct_6;2_ direct_9;2_ direct_12;2_ direct_15;2_ direct_18;2_ direct_21;2_ widening_6;2_ widening_9;2_ widening_12;2_ widening_15;2_ widening_18;2_ widening_21;3_ densening_6;3_ densening_9;3_ densening_12;3_ densening_15;3_ densening_18;3_ densening_21;3_ direct_6;3_ direct_9;3_ direct_12;3_ direct_15;3_ direct_18;3_ direct_21;3_ widening_6;3_ widening_9;3_ widening_12;3_ widening_15;3_ widening_18;3_ widening_21;4_ densening_6;4_ densening_9;4_ densening_12;4_ densening_15;4_ densening_18;4_ densening_21;4_ direct_6;4_ direct_9;4_ direct_12;4_ direct_15;4_ direct_18;4_ direct_21;4_ widening_6;4_ widening_9;4_ widening_12;4_ widening_15;4_ widening_18;4_ widening_21;5_ densening_6;5_ densening_9;5_ densening_12;5_ densening_15;5_ densening_18;5_ densening_21;5_ direct_6;5_ direct_9;5_ direct_12;5_ direct_15;5_ direct_18;5_ direct_21;5_ widening_6;5_ widening_9;5_ widening_12;5_ widening_15;5_ widening_18;5_ widening_21;6_ densening_6;6_ densening_9;6_ densening_12;6_ densening_15;6_ densening_18;6_ densening_21;6_ direct_6;6_ direct_9;6_ direct_12;6_ direct_15;6_ direct_18;6_ direct_21;6_ widening_6;6_ widening_9;6_ widening_12;6_ widening_15;6_ widening_18;6_ widening_21;7_ densening_6;7_ densening_9;7_ densening_12;7_ densening_15;7_ densening_18;7_ densening_21;7_ direct_6;7_ direct_9;7_ direct_12;7_ direct_15;7_ direct_18;7_ direct_21;7_ widening_6;7_ widening_9;7_ widening_12;7_ widening_15;7_ widening_18;7_ widening_21;8_ densening_6;8_ densening_9;8_ densening_12;8_ densening_15;8_ densening_18;8_ densening_21;8_ direct_6;8_ direct_9;8_ direct_12;8_ direct_15;8_ direct_18;8_ direct_21;8_ widening_6;8_ widening_9;8_ widening_12;8_ widening_15;8_ widening_18;8_ widening_21;9_ densening_6;9_ densening_9;9_ densening_12;9_ densening_15;9_ densening_18;9_ densening_21;9_ direct_6;9_ direct_9;9_ direct_12;9_ direct_15;9_ direct_18;9_ direct_21;9_ widening_6;9_ widening_9;9_ widening_12;9_ widening_15;9_ widening_18;9_ widening_21;10_ densening_6;10_ densening_9;10_ densening_12;10_ densening_15;10_ densening_18;10_ densening_21;10_ direct_6;10_ direct_9;10_ direct_12;10_ direct_15;10_ direct_18;10_ direct_21;10_ widening_6;10_ widening_9;10_ widening_12;10_ widening_15;10_ widening_18;10_ widening_21;11_ densening_6;11_ densening_9;11_ densening_12;11_ densening_15;11_ densening_18;11_ densening_21;11_ direct_6;11_ direct_9;11_ direct_12;11_ direct_15;11_ direct_18;11_ direct_21;11_ widening_6;11_ widening_9;11_ widening_12;11_ widening_15;11_ widening_18;11_ widening_21;12_ densening_6;12_ densening_9;12_ densening_12;12_ densening_15;12_ densening_18;12_ densening_21;12_ direct_6;12_ direct_9;12_ direct_12;12_ direct_15;12_ direct_18;12_ direct_21;12_ widening_6;12_ widening_9;12_ widening_12;12_ widening_15;12_ widening_18;12_ widening_21;13_ densening_6;13_ densening_9;13_ densening_12;13_ densening_15;13_ densening_18;13_ densening_21;13_ direct_6;13_ direct_9;13_ direct_12;13_ direct_15;13_ direct_18;13_ direct_21;13_ widening_6;13_ widening_9;13_ widening_12;13_ widening_15;13_ widening_18;13_ widening_21;14_ densening_6;14_ densening_9;14_ densening_12;14_ densening_15;14_ densening_18;14_ densening_21;14_ direct_6;14_ direct_9;14_ direct_12;14_ direct_15;14_ direct_18;14_ direct_21;14_ widening_6;14_ widening_9;14_ widening_12;14_ widening_15;14_ widening_18;14_ widening_21;15_ densening_6;15_ densening_9;15_ densening_12;15_ densening_15;15_ densening_18;15_ densening_21;15_ direct_6;15_ direct_9;15_ direct_12;15_ direct_15;15_ direct_18;15_ direct_21;15_ widening_6;15_ widening_9;15_ widening_12;15_ widening_15;15_ widening_18;15_ widening_21
10;11;5.486;6.367;5.473;4.456;242.304;8.675;6.093;10.099;6.963;12.952;8.539;9.48;5.514;5.779;9.56;4.634;19.332;10.861;12.125;7.544;4.289;2.747;4.253;17.003;6.005;5.438;6.012;9.148;11.401;8.776;5.265;7.023;6.255;6.171;9.582;9.083;7.344;6.042;6.032;6.559;3.604;9.712;5.802;7.087;10.567;13.363;13.198;10.059;4.327;5.112;4.252;8.433;9.997;10.901;9.467;8.373;6.781;3.725;16.169;8.915;5.009;8.496;5.302;6.743;14.969;6.41;5.856;4.277;6.471;13.76;7.354;9.551;5.328;5.396;4.261;9.207;15.093;3.885;4.415;7.762;8.05;12.713;4.572;11.891;4.318;5.058;5.861;7.83;6.376;12.522;9.673;4.143;4.74;7.449;12.392;8.675;4.335;5.451;4.281;12.198;8.429;5.869;7.991;8.729;4.269;9.582;5.346;11.523;6.465;3.536;3.563;11.589;9.906;12.85;4.038;6.659;6.157;8.146;9.588;11.078;4.521;6.941;9.199;7.703;12.341;7.805;5.132;3.839;4.622;11.739;9.284;4.747;7.06;6.446;5.325;11.731;6.693;10.542;8.014;4.842;16.423;5.755;9.313;6.658;7.744;4.35;8.081;12.611;5.48;12.521;5.365;4.224;13.636;6.197;9.735;13.295;4.727;5.024;9.007;4.076;10.629;10.549;7.74;4.372;6.773;11.902;4.33;10.608;6.629;4.206;7.273;7.325;8.948;8.205;6.179;4.485;8.756;5.729;8.708;12.489;7.671;5.068;9.634;14.135;14.688;5.725;3.776;4.76;6.707;5.463;6.017;14.029;3.286;4.915;7.289;7.934;8.922;7.977;5.486;6.03;8.829;5.371;12.662;7.178;3.618;2.958;10.568;9.295;5.781;5.632;4.981;4.306;8.905;9.857;6.191;8.136;5.413;6.227;13.508;3.827;9.072;4.579;4.84;3.536;6.119;8.978;14.042;7.619;3.693;6.797;4.904;3.603;5.633;7.594;3.655;5.525;7.171;9.841;7.0;17.627;5.123;13.482;6.645;8.753;12.198;6.936;8.313;5.559;8.681;11.95;6.9;7.364;5.599;3.871;10.052;9.562;3.982;13.048;4.278;7.908;8.727;7.425;4.782;8.981;4.58;4.938;6.689;6.225;10.636;19.305
11;12;4.231;7.461;9.18;6.186;8.266;7.103;6.392;10.484;5.267;9.417;8.005;8.868;5.959;7.208;9.606;7.352;8.456;7.296;5.107;7.443;5.431;5.537;7.182;5.293;5.534;6.1;7.488;13.612;7.441;13.032;5.781;5.307;6.294;8.758;10.237;11.121;3.047;6.405;11.037;9.65;6.939;10.715;7.297;14.586;8.92;7.655;9.651;8.828;4.152;7.632;6.601;4.727;7.548;7.209;8.365;5.422;8.59;10.232;6.819;12.653;6.002;8.561;7.928;10.894;7.957;8.369;5.919;6.373;6.19;9.089;7.963;9.996;8.253;5.334;8.082;8.491;8.48;6.371;6.031;6.102;8.538;10.62;8.717;8.215;5.322;5.943;8.342;8.172;8.91;7.108;6.8;5.628;6.633;6.623;11.474;7.847;6.426;5.451;5.314;8.085;8.801;10.429;5.366;5.436;6.925;7.104;7.707;6.225;6.631;7.412;5.116;5.669;9.29;9.371;6.621;8.429;6.027;10.12;7.634;9.02;6.109;7.348;6.098;9.78;9.464;7.214;5.512;7.35;8.015;9.087;11.676;11.327;5.813;6.826;7.444;5.655;8.44;11.908;4.691;8.009;7.115;7.306;6.375;6.803;6.643;5.435;7.468;8.409;6.464;9.561;5.81;5.88;8.23;14.619;10.454;19.238;5.298;6.055;9.909;7.583;9.895;8.006;4.524;7.283;9.138;9.649;7.393;5.163;6.982;5.656;8.48;9.349;6.257;6.984;5.242;4.598;6.559;7.323;6.737;9.37;6.835;4.932;7.68;8.928;8.211;5.595;6.314;6.533;6.598;5.965;12.739;8.766;5.372;9.538;6.879;7.004;8.924;9.482;6.278;6.756;8.352;5.881;5.242;7.737;5.406;7.008;7.361;7.901;7.696;8.584;5.058;5.901;9.843;6.549;8.75;13.437;4.976;6.492;5.497;9.118;7.756;8.555;10.511;8.075;7.26;7.943;6.197;12.01;5.099;9.822;6.628;7.385;7.52;8.3;6.066;5.795;6.665;5.538;9.13;6.411;5.679;9.14;7.754;10.734;12.888;6.836;5.818;6.056;5.353;5.892;14.824;6.189;5.842;9.157;7.794;7.847;9.105;11.158;6.219;9.143;6.102;7.765;7.26;6.391;5.395;6.853;8.733;8.722;4.966;10.679
12;13;5.618;8.477;6.935;13.042;17.595;8.331;307.572;16.494;6.412;6.501;7.44;5.874;5.48;7.088;10.485;10.091;7.892;19.82;5.9;8.699;9.836;9.09;31.044;6.268;3.953;5.969;9.14;9.814;2.262;9.882;5.408;7.795;8.72;6.799;19.677;10.791;5.01;8.27;76.522;10.025;15.262;7.446;2.441;7.112;9.444;9.43;9.158;8.7;4.826;8.083;15.751;19.841;14.538;24.606;4.19;5.774;15.14;10.646;6.909;10.362;4.819;5.493;9.474;7.552;12.318;9.526;6.829;7.401;7.062;9.642;11.711;9.578;14.862;9.849;7.709;6.081;4.857;17.176;5.044;5.677;5.376;7.439;11.78;8.486;3.397;4.881;8.109;22.862;10.154;8.775;4.801;9.072;109.455;7.186;18.881;18.638;12.744;8.373;8.077;7.747;9.29;10.627;6.659;6.382;12.769;15.742;6.131;12.709;5.697;5.752;9.127;7.96;8.33;17.036;5.797;6.426;6.229;4.841;10.023;6.156;3.689;6.275;6.034;8.196;7.154;10.356;8.4;5.56;17.063;11.176;10.002;20.437;7.258;7.111;24.771;59.67;18.709;29.52;5.964;6.07;6.241;6.386;11.241;5.852;5.504;2.822;10.372;6.996;9.154;9.873;12.939;6.028;9.565;11.084;8.217;8.028;4.596;5.942;7.96;9.446;9.86;9.128;11.187;8.134;4.51;12.186;7.787;10.743;3.437;7.702;5.033;13.805;6.295;27.461;6.344;6.125;5.37;7.462;123.369;18.275;6.277;7.872;18.875;6.427;13.805;8.167;4.512;8.449;9.742;6.836;8.12;8.366;10.098;18.529;15.745;8.294;8.489;30.623;8.358;7.138;10.504;8.375;10.461;7.78;7.865;5.595;6.267;9.34;6.986;5.513;5.976;5.728;8.77;17.941;40.41;8.865;6.038;8.582;6.882;9.672;6.961;19.878;5.427;6.688;6.864;14.911;13.096;4.97;3.611;18.41;7.174;7.469;12.139;34.89;4.31;5.097;6.052;6.988;4.277;9.802;4.068;6.788;9.184;14.455;18.031;8.39;3.515;11.296;9.783;7.798;5.34;14.208;7.394;9.573;11.667;11.295;9.892;10.728;5.953;8.047;7.473;11.032;8.626;8.835;5.067;10.78;6.868;7.93;10.681;18.849
13;14;4.689;5.453;8.715;9.196;7.949;15.573;6.182;6.075;6.52;7.335;9.595;12.141;4.743;7.944;7.047;5.597;8.834;10.72;5.986;8.083;5.039;9.82;8.046;8.353;4.066;7.968;6.649;7.069;7.53;8.469;5.551;6.164;5.271;25.003;5.943;11.778;4.744;6.109;14.521;6.806;8.028;7.038;6.132;6.321;7.374;7.34;9.997;9.583;4.564;6.171;7.177;9.501;21.399;14.098;5.599;4.342;7.43;7.75;9.39;13.202;7.504;6.786;8.078;15.145;6.597;16.08;5.86;7.776;5.35;7.235;9.517;8.467;4.971;9.838;7.41;9.252;7.462;9.002;6.953;5.465;5.273;7.489;9.802;12.272;6.863;9.622;5.395;7.376;7.038;8.474;5.996;6.594;9.122;6.392;10.197;10.766;4.867;7.228;6.956;8.749;8.786;6.565;4.079;6.032;5.836;3.561;7.51;7.094;5.639;5.376;5.789;7.638;8.203;10.981;7.131;9.563;9.8;7.647;8.859;14.974;4.527;6.926;5.316;10.287;6.723;6.991;22.21;8.057;11.195;9.247;10.129;9.625;4.888;6.278;6.57;8.322;7.035;12.06;2.981;3.293;7.166;6.95;6.697;23.313;5.876;7.036;10.293;7.727;9.252;7.97;4.23;10.323;6.904;15.431;8.36;9.831;5.102;8.437;7.94;6.288;5.335;13.862;5.202;7.207;4.388;8.622;9.033;11.595;5.373;8.73;5.875;12.617;24.536;12.259;6.674;24.53;22.959;6.772;8.715;6.439;4.96;6.263;5.777;11.704;11.395;9.817;6.489;6.703;8.297;15.164;6.551;18.738;5.027;8.49;6.504;6.863;10.919;59.012;5.141;7.162;7.648;8.709;6.56;7.62;7.678;8.53;7.062;7.409;7.949;4.225;5.869;5.173;3.914;14.593;9.099;8.276;5.24;6.875;4.54;5.976;7.61;5.26;5.121;5.671;7.191;8.66;12.492;9.89;5.543;9.973;5.557;18.584;7.941;8.766;4.058;5.061;5.346;6.123;10.645;10.59;6.591;7.834;14.034;13.193;11.648;11.009;4.149;6.508;10.164;15.475;9.491;16.943;7.086;6.913;7.971;10.887;11.807;10.815;7.07;6.38;5.726;5.548;10.211;8.091;4.071;3.477;3.643;7.271;13.604;6.007
14;15;7.26;375.574;24.06;7.239;7.92;12.412;4.751;10.636;9.578;9.589;5.932;9.235;7.066;8.814;7.632;9.59;10.105;10.219;3.803;6.705;11.354;9.491;5.955;10.467;5.996;5.985;6.414;5.876;12.436;10.567;3.706;10.031;7.567;12.746;8.641;12.55;7.904;7.973;7.722;8.584;7.286;8.351;6.708;7.037;8.455;13.531;12.848;6.911;6.029;6.369;5.948;10.391;10.855;24.528;4.223;10.611;6.26;11.102;12.486;6.213;3.674;7.685;12.396;7.304;7.095;17.73;11.279;7.254;7.583;6.435;6.808;11.599;9.327;9.649;14.462;10.235;15.773;13.729;5.97;12.852;8.116;12.508;6.681;14.083;9.439;7.033;7.668;8.58;10.477;11.351;6.716;10.221;8.496;10.849;6.551;10.565;8.114;6.524;5.903;9.839;6.699;7.716;6.958;6.58;6.596;17.478;10.862;10.278;5.874;10.73;16.367;4.685;12.322;12.962;3.505;21.554;9.924;7.123;6.013;27.915;7.362;5.73;7.834;14.782;15.39;6.49;4.022;5.596;8.954;16.135;11.982;12.677;5.817;8.372;6.593;6.87;10.482;76.09;4.853;8.897;6.357;8.871;7.204;9.315;7.008;8.671;5.94;9.006;12.446;13.938;5.348;9.105;7.843;11.557;10.079;5.977;5.291;16.537;9.719;8.867;11.978;8.266;4.119;5.825;10.167;6.921;8.937;15.301;3.518;4.931;8.036;10.239;10.744;11.311;6.225;9.944;8.463;10.257;7.702;7.623;5.901;7.839;9.392;13.555;13.316;15.021;4.281;7.186;7.604;10.238;5.797;10.738;7.358;19.4;7.131;7.961;12.023;6.496;7.847;14.498;8.766;10.902;6.45;12.665;5.814;7.005;6.281;5.375;8.745;6.383;6.299;7.951;6.017;6.958;9.001;10.224;12.841;8.678;11.399;9.722;9.436;6.518;5.577;5.083;11.914;8.953;6.822;25.292;4.359;6.223;8.157;10.428;22.237;9.919;8.414;11.6;5.377;9.38;9.139;14.211;7.835;6.315;7.278;16.308;11.401;6.282;6.69;6.305;16.256;32.493;7.48;7.915;4.54;5.628;8.006;6.128;12.519;10.185;8.569;9.365;10.065;20.222;8.78;10.105;8.758;5.561;6.588;8.909;9.29;10.039
15;16;4.231;15.876;7.745;7.193;5.019;8.432;6.794;8.004;6.704;223.714;6.856;6.418;3.99;6.299;7.899;15.665;4.941;11.858;7.424;10.486;2.327;7.416;9.302;7.017;13.38;9.489;2.377;8.283;11.416;12.716;5.08;6.636;19.807;52.277;15.196;25.841;2.875;9.398;18.684;17.399;8.665;8.859;4.697;6.368;13.954;5.804;13.844;8.972;2.798;9.359;7.377;8.032;5.895;14.685;5.519;7.383;8.065;15.788;10.935;7.008;7.444;4.644;15.83;11.384;6.868;8.347;4.871;11.843;9.631;4.474;15.038;6.313;7.291;6.487;6.554;15.335;9.591;11.204;5.323;11.831;9.606;6.594;7.378;6.955;6.805;12.28;4.392;5.329;18.347;25.751;6.49;5.349;5.13;12.195;8.294;7.35;5.912;8.537;18.883;12.063;7.061;16.938;7.801;6.587;12.622;7.702;9.934;8.063;4.859;8.209;4.156;12.171;6.425;8.04;9.784;6.462;13.937;3.963;10.693;7.767;6.518;5.653;6.754;8.821;16.397;9.175;6.919;5.283;8.474;6.322;12.486;9.105;6.921;8.341;9.072;14.14;5.713;7.738;9.585;5.321;5.869;9.784;9.443;55.845;5.624;8.277;5.491;6.608;19.975;5.261;4.013;7.738;20.683;8.642;15.314;18.88;3.448;4.172;7.507;5.826;41.21;14.252;10.263;4.123;10.917;6.597;18.773;26.182;3.294;3.107;19.352;36.746;33.692;10.298;6.156;4.095;8.182;20.674;6.585;27.214;6.614;6.746;8.746;5.978;9.867;11.049;4.986;8.19;4.985;7.012;11.037;25.346;6.343;7.038;6.406;17.933;5.719;54.869;4.9;7.265;7.711;8.139;13.049;6.388;8.94;9.848;8.238;13.524;19.711;53.276;5.215;7.444;14.937;17.6;9.953;8.763;1.773;7.699;7.779;6.79;15.659;14.033;5.404;4.009;3.539;12.607;7.267;11.753;6.797;9.681;8.817;8.326;9.666;6.256;7.346;9.918;7.234;11.041;7.432;5.169;4.799;7.635;5.412;10.395;11.555;10.486;7.126;4.967;9.707;8.358;6.142;5.873;5.958;5.231;6.258;6.286;5.229;3.367;5.555;8.129;5.882;10.152;9.021;11.481;8.273;4.073;28.261;12.314;6.959;7.478
16;17;6.466;6.601;7.794;11.584;8.156;10.204;5.201;7.427;5.962;6.629;7.916;5.716;5.571;8.344;8.211;5.227;6.118;7.068;5.599;5.43;6.196;7.757;7.67;5.53;9.939;5.155;5.636;8.355;10.555;5.775;4.98;9.26;6.851;6.06;6.61;5.382;6.817;7.383;9.537;7.92;6.409;5.775;5.45;5.144;6.368;5.638;8.018;7.842;6.528;6.19;6.299;9.285;6.751;14.789;5.222;5.59;7.832;4.092;10.909;6.42;5.239;5.898;7.163;7.538;10.339;6.757;6.046;7.741;6.324;20.477;5.855;8.778;9.944;5.158;6.927;7.51;6.048;9.008;4.916;7.007;6.674;6.535;6.993;9.744;4.604;7.349;5.733;6.93;6.447;7.077;5.484;8.042;5.284;6.487;10.192;8.74;5.506;4.711;6.84;7.09;4.249;7.66;7.102;5.387;7.051;7.629;6.882;10.096;4.281;5.438;6.147;8.125;5.847;4.843;5.23;5.869;6.216;5.779;8.328;6.115;44.572;5.859;5.95;7.859;5.689;5.464;4.873;5.243;9.413;6.599;8.7;5.384;5.531;6.068;7.284;10.478;5.421;4.739;6.535;6.169;5.947;6.945;6.267;7.678;5.734;7.872;7.275;5.621;6.648;9.988;5.221;6.004;5.56;20.127;7.224;8.746;3.582;8.405;6.831;6.951;7.351;5.846;6.088;5.894;4.585;12.463;6.831;10.098;5.993;6.333;6.64;7.353;5.862;8.319;3.727;13.949;6.477;12.003;9.431;5.66;6.514;11.103;6.498;7.195;7.641;11.061;5.955;6.716;5.707;8.977;10.546;5.567;8.051;12.952;7.052;10.323;9.549;8.49;5.66;5.15;7.385;9.475;6.795;10.803;3.917;5.86;6.871;6.152;7.089;7.781;5.399;9.907;7.385;4.722;5.928;6.859;5.977;6.24;5.137;4.862;6.324;5.526;4.8;6.381;12.741;8.161;5.334;8.564;4.867;6.762;8.163;7.878;4.442;9.424;8.147;6.594;6.676;8.485;9.001;8.34;3.491;5.698;5.564;7.915;7.387;8.281;5.979;8.051;6.13;6.143;5.585;30.839;5.357;3.518;5.875;5.534;5.415;8.106;5.833;6.634;8.232;7.724;6.727;7.778;9.669;14.033;7.218;6.641;7.066;6.908
17;18;6.187;4.944;8.117;8.999;17.903;16.397;5.445;5.792;6.705;7.693;6.603;6.972;2.829;7.762;6.422;10.136;15.532;9.901;8.021;7.1;5.876;4.96;5.894;8.97;8.015;7.142;9.848;8.144;6.407;7.008;3.455;5.929;5.65;5.635;9.08;8.749;290.556;8.975;7.399;8.167;17.783;21.398;5.957;5.421;9.052;5.939;7.86;7.456;3.029;6.321;6.496;5.491;7.048;13.162;4.105;6.399;9.264;7.596;8.844;11.834;5.616;8.675;10.33;6.27;8.475;6.805;3.291;7.215;8.911;14.209;365.353;6.894;8.525;4.814;6.776;8.7;8.463;4.47;5.395;5.341;8.053;6.228;11.177;7.6;3.948;7.686;4.307;6.221;8.201;9.534;6.748;7.072;4.861;7.177;9.052;7.445;6.477;8.149;8.115;6.136;9.108;7.588;8.308;6.611;8.188;5.175;7.654;8.77;5.105;5.775;26.141;11.681;11.749;7.8;5.706;3.85;7.593;6.084;6.697;9.874;8.276;6.336;7.395;8.546;6.005;7.93;4.084;5.302;35.161;7.426;10.747;6.803;4.447;5.81;12.352;8.208;7.106;10.178;6.742;7.411;5.474;8.068;6.781;7.129;8.222;6.599;10.915;8.115;8.401;9.453;6.451;5.978;8.243;7.891;6.89;7.084;4.755;5.974;9.745;6.077;7.805;6.75;17.601;9.12;5.428;7.659;5.542;13.174;4.4;6.566;11.263;7.315;15.214;8.231;3.688;6.151;6.27;5.979;8.89;8.214;6.983;6.554;8.273;18.733;25.155;7.245;6.868;5.961;6.168;9.015;7.666;6.802;6.567;6.574;7.282;5.408;8.7;11.979;4.299;5.699;7.457;5.088;5.776;6.723;7.785;7.207;7.274;8.641;7.918;8.147;6.685;9.962;5.036;11.748;6.844;9.604;4.437;4.453;9.504;8.574;9.238;7.718;7.774;6.923;5.479;6.315;6.611;11.748;5.353;6.954;8.296;6.105;9.145;11.328;5.106;8.024;25.104;7.345;7.84;6.201;4.062;6.821;7.851;5.741;10.719;7.316;4.166;10.639;15.791;7.93;7.054;6.993;5.422;8.815;7.122;5.839;28.098;9.111;6.199;4.758;6.57;9.006;6.9;8.276;4.373;7.221;5.596;13.471;6.732;5.3
18;19;4.689;11.994;16.322;8.647;13.832;6.164;5.253;8.414;7.448;7.635;11.274;12.184;5.829;8.678;7.285;12.078;13.108;8.515;8.35;7.7;8.759;13.446;7.385;16.765;5.583;6.022;5.533;7.995;7.672;6.414;6.861;7.161;8.167;14.187;8.37;17.344;5.533;13.622;4.731;9.031;13.512;10.502;5.632;8.652;4.684;12.905;6.265;12.271;4.551;5.036;7.269;6.831;16.614;11.453;11.419;6.893;13.918;5.295;9.675;9.828;6.734;6.926;8.482;27.243;10.997;9.953;6.53;9.183;8.667;8.141;16.269;8.028;4.82;9.487;9.35;12.097;9.903;13.427;7.004;5.881;7.034;15.303;6.98;6.444;5.221;6.285;13.47;7.014;9.568;10.109;7.856;10.477;8.852;11.818;6.412;5.315;5.854;254.785;11.941;9.958;10.822;8.222;14.546;4.389;6.285;10.655;7.392;9.241;5.936;5.094;10.604;12.968;10.624;15.257;8.322;6.071;8.133;8.592;4.748;10.422;18.537;8.55;9.106;7.579;6.656;8.457;4.386;9.42;7.111;6.411;12.808;9.007;6.237;7.075;9.722;7.63;7.398;19.346;7.386;8.404;7.555;7.609;7.472;9.232;4.067;5.004;8.583;11.772;13.55;11.416;4.655;8.946;8.528;40.165;6.12;11.945;5.722;5.374;7.915;6.837;9.564;6.077;4.341;7.483;12.068;7.507;19.821;7.884;5.925;8.266;5.88;13.14;11.737;7.695;6.099;7.322;6.933;8.659;9.26;40.808;7.442;9.056;9.148;6.47;13.365;14.04;5.776;4.838;7.687;6.109;12.28;10.255;5.765;6.509;3.6;5.79;10.669;7.269;6.934;7.262;10.22;8.696;10.575;11.912;3.938;15.755;14.768;23.065;8.669;9.609;6.182;5.184;11.916;13.02;13.962;6.252;5.898;11.357;5.18;8.931;7.513;11.236;7.217;4.384;9.661;12.989;13.276;10.299;4.699;8.424;6.618;10.286;8.483;7.57;6.355;7.011;12.271;11.937;12.033;8.661;7.258;7.003;11.833;9.48;5.638;6.001;5.826;5.04;5.601;5.638;10.631;8.19;7.175;5.297;7.685;18.933;12.339;3.943;5.615;6.627;7.294;9.182;9.919;15.627;6.288;5.852;6.815;6.966;10.368;8.374
19;20;5.649;6.027;8.313;7.321;9.078;9.931;5.024;11.84;8.679;9.976;9.84;7.175;4.718;5.975;7.957;6.789;6.663;8.637;5.611;4.993;5.638;5.999;7.682;9.478;6.371;8.926;7.629;5.646;8.11;8.32;7.338;7.188;6.932;5.929;6.19;5.626;5.617;8.712;8.7;5.199;7.783;5.161;4.75;5.119;4.681;8.311;9.049;9.666;6.631;6.755;9.034;7.404;8.653;6.42;7.153;7.472;7.24;12.363;10.346;8.159;5.153;6.434;6.938;7.538;6.635;16.401;4.975;5.807;5.745;6.972;10.327;17.107;6.417;6.506;7.374;7.23;7.004;7.026;7.163;5.696;8.917;7.095;11.493;7.78;2.388;6.231;6.548;7.0;9.505;7.214;4.199;4.92;8.578;7.796;13.598;8.706;7.023;7.093;10.645;9.286;13.214;8.434;6.849;6.731;6.485;19.007;9.577;7.711;6.108;9.599;8.64;11.429;14.696;9.355;5.885;7.567;7.493;7.659;6.865;7.735;6.221;6.524;7.93;6.693;6.354;9.945;6.613;5.272;4.36;10.39;9.775;5.796;6.148;5.836;7.815;8.058;5.336;7.181;8.541;9.455;9.136;9.724;7.963;7.986;5.43;8.292;7.161;8.203;5.535;5.55;6.606;8.005;11.031;11.433;7.263;17.441;5.047;7.551;7.177;7.82;8.436;39.537;4.106;5.416;5.593;7.291;9.536;7.653;5.219;5.334;5.885;9.181;14.851;6.791;4.235;5.8;5.907;6.056;11.743;6.146;5.516;5.431;6.777;8.053;14.31;8.399;6.335;5.514;6.343;6.73;9.175;7.863;6.519;6.902;6.868;9.922;7.775;7.902;6.375;6.315;3.47;5.297;5.522;6.093;5.598;6.021;7.154;6.779;7.792;6.772;5.319;8.13;7.177;6.446;6.909;8.367;5.165;6.341;8.326;6.285;8.228;11.019;4.322;5.493;6.38;7.002;7.681;11.874;8.854;5.713;7.81;5.287;18.252;9.429;4.83;6.985;5.025;7.77;9.172;7.414;5.337;7.996;7.224;6.517;6.9;5.154;5.061;7.582;13.66;8.646;9.209;12.988;4.544;7.703;6.866;10.12;14.851;14.104;6.593;7.099;5.893;4.745;6.938;6.936;5.739;6.147;5.79;6.774;48.935;14.712
