;Duration_Minutes
count;23.0
mean;64.1536231884058
std;13.080401096352437
min;47.983333333333334
5%;48.62166666666667
10%;49.99666666666667
25%;54.94166666666666
50%;60.46666666666667
75%;73.11666666666667
90%;82.77666666666667
95%;87.81333333333332
99%;92.49333333333334
max;93.66666666666667
ci95_hi;69.4994294420712
ci95_lo;58.80781693474041
iqr;18.17500000000001
lower_bound;27.679166666666646
upper_bound;100.37916666666669
lower_whisker;47.983333333333334
upper_whisker;93.66666666666667
