;Proband__;Trial__;Duration_ densening_6;Duration_ densening_9;Duration_ densening_12;Duration_ densening_15;Duration_ densening_18;Duration_ densening_21;Duration_ direct_6;Duration_ direct_9;Duration_ direct_12;Duration_ direct_15;Duration_ direct_18;Duration_ direct_21;Duration_ widening_6;Duration_ widening_9;Duration_ widening_12;Duration_ widening_15;Duration_ widening_18;Duration_ widening_21
0;1;0;6.442666666666667;6.523;7.272333333333333;9.031333333333334;6.681;6.329999999999999;6.2956666666666665;7.859666666666667;6.161666666666666;8.141;7.027333333333334;7.777666666666666;5.608333333333333;5.769000000000001;5.6193333333333335;6.728666666666666;12.254666666666665;7.306333333333334
1;1;1;6.391333333333333;6.341666666666666;6.1816666666666675;6.281333333333333;8.007666666666667;7.966;5.1193333333333335;6.731000000000001;11.839666666666668;8.448;6.697666666666667;8.550333333333333;5.020333333333333;6.273666666666666;7.872333333333334;8.589666666666666;9.326333333333332;9.176666666666668
2;1;2;4.664000000000001;6.035666666666667;6.6546666666666665;7.336000000000001;8.615666666666668;9.626666666666667;6.047666666666667;9.462;7.018666666666667;8.031333333333334;8.234333333333334;7.516666666666667;3.6176666666666666;5.852333333333334;6.204666666666667;9.912;7.639333333333333;7.864999999999999
3;1;3;5.513000000000001;4.257666666666666;7.054666666666667;6.896999999999999;6.114999999999999;8.149000000000001;4.867666666666667;7.622333333333334;5.719;7.036666666666666;6.065666666666666;10.392999999999999;5.331666666666667;13.129333333333333;6.121666666666666;6.176666666666667;9.312666666666667;7.945
4;1;4;4.5040000000000004;5.250666666666667;6.707333333333334;7.959666666666666;9.580666666666668;7.0456666666666665;5.04;8.154;6.657333333333334;6.968333333333334;8.542;24.816999999999997;4.913333333333333;6.674666666666667;7.033666666666666;10.355333333333332;7.527;7.349
5;2;0;6.301666666666667;8.634666666666666;8.458;8.942;23.41033333333333;7.199333333333333;6.2203333333333335;8.098666666666666;9.784;7.107333333333333;17.102666666666668;10.505666666666666;7.319333333333333;6.488333333333333;7.868333333333333;8.271666666666667;8.154666666666666;15.02533333333333
6;2;1;6.3486666666666665;7.866666666666667;6.9703333333333335;7.468;7.435;24.947333333333333;5.7893333333333326;8.562;8.935666666666668;8.902333333333333;8.093000000000002;9.334000000000001;6.121666666666666;5.816333333333333;7.428999999999999;8.648333333333333;11.734666666666667;9.162666666666667
7;2;2;6.136333333333333;5.625333333333333;9.323666666666666;18.558333333333334;8.814;12.748333333333335;5.210999999999999;7.582333333333334;11.49;7.978333333333333;9.292666666666667;10.117666666666667;4.945666666666667;6.498666666666666;23.238;6.454000000000001;8.155666666666667;10.366666666666667
8;2;3;6.461666666666667;10.891;8.254;9.465;11.892000000000001;7.694333333333333;6.587;10.782000000000002;16.270333333333333;7.305;9.120666666666667;10.883000000000001;5.589666666666666;9.218;8.217333333333334;7.692;11.460666666666667;9.749
9;2;4;5.335333333333334;10.520333333333333;7.335333333333334;12.809666666666667;9.447333333333333;10.656333333333334;5.226;7.117;7.8613333333333335;9.329333333333333;12.740666666666664;10.708;8.698333333333332;8.332666666666666;7.975999999999999;15.760333333333334;21.301333333333336;12.288666666666666
