;FrameTime
count;1398930.0
mean;39.662609994781725
std;37.23145160278225
min;0.0
5%;27.0
10%;29.0
25%;32.0
50%;36.0
75%;43.0
90%;49.0
95%;52.0
99%;61.0
max;999.0
ci95_hi;39.724307563247834
ci95_lo;39.60091242631562
iqr;11.0
lower_bound;15.5
upper_bound;59.5
lower_whisker;16.0
upper_whisker;59.0
