;MappingMethod;FrameNumber_Start;FrameNumber_Finish;Block;Task;Trial;NumLayers;Target;Target_Relative;Result;Result_Numeric_Completed;Result_Numeric_Terminated;Result_Numeric_Failed;Proband
552; direct;5225;5478;1;3;2;15;1;0.06666666666666667; TERMINATED;0;1;0;03
553; direct;5543;5732;1;3;3;15;14;0.9333333333333333; TERMINATED;0;1;0;03
554; direct;5884;6109;1;3;4;15;8;0.5333333333333333; COMPLETED;1;0;0;03
555; direct;6327;6450;1;4;0;6;5;0.8333333333333334; TERMINATED;0;1;0;03
556; direct;6657;6743;1;4;1;6;4;0.6666666666666666; FAILED;0;0;1;03
557; direct;6913;7041;1;4;2;6;1;0.16666666666666666; COMPLETED;1;0;0;03
558; direct;7127;7192;1;4;3;6;3;0.5; TERMINATED;0;1;0;03
559; direct;7294;7388;1;4;4;6;2;0.3333333333333333; TERMINATED;0;1;0;03
560; direct;7675;7802;1;5;0;9;2;0.2222222222222222; TERMINATED;0;1;0;03
561; direct;7844;8010;1;5;1;9;7;0.7777777777777778; TERMINATED;0;1;0;03
562; direct;8079;8212;1;5;2;9;8;0.8888888888888888; TERMINATED;0;1;0;03
563; direct;8352;8493;1;5;3;9;1;0.1111111111111111; COMPLETED;1;0;0;03
564; direct;8602;8700;1;5;4;9;5;0.5555555555555556; TERMINATED;0;1;0;03
565; direct;8977;9119;1;6;0;15;14;0.9333333333333333; TERMINATED;0;1;0;03
566; direct;9150;9285;1;6;1;15;8;0.5333333333333333; TERMINATED;0;1;0;03
567; direct;9338;9703;1;6;2;15;1;0.06666666666666667; COMPLETED;1;0;0;03
568; direct;9787;10076;1;6;3;15;4;0.26666666666666666; COMPLETED;1;0;0;03
569; direct;10170;10594;1;6;4;15;11;0.7333333333333333; TERMINATED;0;1;0;03
570; direct;10827;10980;1;7;0;6;1;0.16666666666666666; COMPLETED;1;0;0;03
571; direct;11109;11205;1;7;1;6;2;0.3333333333333333; COMPLETED;1;0;0;03
572; direct;11276;11320;1;7;2;6;4;0.6666666666666666; TERMINATED;0;1;0;03
573; direct;11389;11480;1;7;3;6;3;0.5; TERMINATED;0;1;0;03
574; direct;11538;11673;1;7;4;6;5;0.8333333333333334; TERMINATED;0;1;0;03
575; direct;11908;12150;1;8;0;21;11;0.5238095238095238; TERMINATED;0;1;0;03
576; direct;12243;12533;1;8;1;21;20;0.9523809523809523; TERMINATED;0;1;0;03
577; direct;12612;12936;1;8;2;21;5;0.23809523809523808; COMPLETED;1;0;0;03
578; direct;13151;13494;1;8;3;21;16;0.7619047619047619; COMPLETED;1;0;0;03
579; direct;13610;13728;1;8;4;21;1;0.047619047619047616; TERMINATED;0;1;0;03
580; direct;13954;14153;1;9;0;9;7;0.7777777777777778; TERMINATED;0;1;0;03
581; direct;14272;14671;1;9;1;9;1;0.1111111111111111; COMPLETED;1;0;0;03
582; direct;14784;14968;1;9;2;9;2;0.2222222222222222; COMPLETED;1;0;0;03
583; direct;15057;15149;1;9;3;9;8;0.8888888888888888; TERMINATED;0;1;0;03
584; direct;15327;15422;1;9;4;9;5;0.5555555555555556; TERMINATED;0;1;0;03
585; direct;15721;16226;1;10;0;18;14;0.7777777777777778; FAILED;0;0;1;03
586; direct;16308;17338;1;10;1;18;17;0.9444444444444444; TERMINATED;0;1;0;03
