;FrameRate_1
count;6210.0
mean;26.609963996522875
std;0.6231248176905612
min;17.328951299671346
5%;25.859547836988423
10%;26.027957871039902
25%;26.28590794232749
50%;26.5898752734244
75%;26.91408374870947
90%;27.2084228796824
95%;27.402566386879336
99%;27.80977814692715
max;52.29300684789376
ci95_hi;26.6254623413662
ci95_lo;26.59446565167955
iqr;0.6281758063819787
lower_bound;25.34364423275452
upper_bound;27.856347458282436
lower_whisker;25.34441055841834
upper_whisker;27.85382692536603
