;Block;Task;sum;count;mean
1;1;1;1181.319;115;10.272339130434782
2;1;2;1087.508;115;9.456591304347826
3;1;3;971.7;115;8.449565217391305
4;1;4;1008.022;115;8.765408695652175
5;1;5;967.176;115;8.410226086956522
6;1;6;986.245;115;8.57604347826087
7;1;7;1033.359;115;8.985730434782608
8;1;8;1021.413;115;8.881852173913044
9;1;9;1206.49;115;10.491217391304348
10;1;10;1064.862;115;9.259669565217392
11;1;11;878.965;115;7.643173913043478
12;1;12;954.2660000000001;115;8.297965217391305
13;1;13;1009.8620000000001;115;8.781408695652175
14;1;14;1203.827;115;10.468060869565218
15;1;15;1107.8500000000001;115;9.633478260869566
16;1;16;975.601;115;8.48348695652174
17;1;17;1081.775;115;9.406739130434783
18;1;18;1033.1670000000001;115;8.98406086956522
19;2;1;2410.8250000000003;115;20.963695652173914
20;2;2;1212.384;115;10.542469565217392
21;2;3;976.734;115;8.493339130434784
22;2;4;1452.924;115;12.634121739130435
23;2;5;883.2560000000001;115;7.68048695652174
24;2;6;976.013;115;8.487069565217391
25;2;7;961.8960000000001;115;8.364313043478262
26;2;8;1025.046;115;8.91344347826087
27;2;9;1057.709;115;9.197469565217391
28;2;10;985.784;115;8.572034782608696
29;2;11;949.2750000000001;115;8.254565217391304
30;2;12;996.409;115;8.66442608695652
31;2;13;1040.541;115;9.048182608695651
32;2;14;1117.758;115;9.719634782608695
33;2;15;935.606;115;8.135704347826087
34;2;16;889.845;115;7.737782608695652
35;2;17;1148.942;115;9.9908
36;2;18;1003.666;115;8.72753043478261
37;3;1;1622.5220000000002;115;14.10888695652174
38;3;2;1300.1080000000002;115;11.30528695652174
39;3;3;914.1560000000001;115;7.9491826086956525
40;3;4;926.2860000000001;115;8.054660869565218
41;3;5;953.797;115;8.293886956521739
42;3;6;1022.341;115;8.889921739130434
43;3;7;911.6270000000001;115;7.927191304347827
44;3;8;1200.5040000000001;115;10.439165217391306
45;3;9;973.1890000000001;115;8.462513043478262
46;3;10;1003.289;115;8.724252173913044
47;3;11;1068.372;115;9.290191304347827
48;3;12;1060.961;115;9.225747826086957
49;3;13;967.229;115;8.41068695652174
50;3;14;879.7700000000001;115;7.650173913043479
51;3;15;1147.272;115;9.976278260869565
52;3;16;1006.1120000000001;115;8.748800000000001
53;3;17;880.306;115;7.654834782608696
54;3;18;971.8820000000001;115;8.451147826086958
