;Proband; densening_6; densening_9; densening_12; densening_15; densening_18; densening_21; direct_6; direct_9; direct_12; direct_15; direct_18; direct_21; widening_6; widening_9; widening_12; widening_15; widening_18; widening_21
0;1;1.4666666666666666;1.5333333333333334;1.8;1.9333333333333333;1.9333333333333333;1.9333333333333333;1.3333333333333333;2.8666666666666667;2.066666666666667;1.7333333333333334;1.7333333333333334;1.8666666666666667;2.533333333333333;1.0666666666666667;1.7333333333333334;1.8;2.0;1.8666666666666667
1;2;1.6666666666666667;3.0;2.2666666666666666;3.533333333333333;3.8;4.266666666666667;1.3333333333333333;2.4;2.4;2.3333333333333335;2.6666666666666665;3.2666666666666666;2.2666666666666666;3.533333333333333;3.1333333333333333;2.6;3.2666666666666666;3.533333333333333
2;3;1.2666666666666666;2.6666666666666665;2.4;5.533333333333333;7.733333333333333;7.466666666666667;1.6666666666666667;2.4;1.3333333333333333;2.4;5.8;4.4;1.8666666666666667;2.4;3.933333333333333;5.733333333333333;4.6;5.4
3;4;1.2666666666666666;2.1333333333333333;2.2;5.6;8.533333333333333;5.6;2.1333333333333333;2.0;3.066666666666667;5.066666666666666;9.866666666666667;8.866666666666667;2.7333333333333334;3.8666666666666667;3.7333333333333334;6.266666666666667;4.466666666666667;7.8
4;5;2.533333333333333;2.6;3.6666666666666665;2.3333333333333335;4.2;3.2666666666666666;1.4;2.1333333333333333;3.0;3.066666666666667;3.3333333333333335;3.7333333333333334;2.2;1.8;3.0;2.8666666666666667;3.533333333333333;3.2666666666666666
5;6;1.5333333333333334;1.6;1.8;2.1333333333333333;2.1333333333333333;2.066666666666667;1.4;1.6;1.7333333333333334;2.4;2.4;2.2;1.6666666666666667;2.8666666666666667;1.9333333333333333;2.2;2.466666666666667;2.7333333333333334
6;7;1.8666666666666667;2.2666666666666666;2.2666666666666666;3.1333333333333333;3.2666666666666666;4.466666666666667;1.0666666666666667;1.4666666666666666;2.4;2.466666666666667;2.6;3.0;1.0666666666666667;1.4666666666666666;1.4666666666666666;2.1333333333333333;1.7333333333333334;2.4
7;8;2.8666666666666667;3.2666666666666666;2.933333333333333;3.933333333333333;3.2666666666666666;5.066666666666666;2.066666666666667;2.066666666666667;1.8666666666666667;4.333333333333333;3.1333333333333333;3.933333333333333;2.066666666666667;2.0;3.2;2.2666666666666666;3.8666666666666667;3.6
8;9;2.4;3.533333333333333;2.533333333333333;4.866666666666666;5.0;4.2;1.5333333333333334;2.2;3.1333333333333333;5.0;3.7333333333333334;3.1333333333333333;1.2666666666666666;1.8666666666666667;2.3333333333333335;3.8;4.533333333333333;5.266666666666667
9;10;2.933333333333333;2.2;3.8666666666666667;4.866666666666666;5.266666666666667;6.733333333333333;1.8666666666666667;2.7333333333333334;2.0;3.6;5.133333333333334;6.466666666666667;2.533333333333333;1.6666666666666667;3.466666666666667;3.2;5.666666666666667;3.3333333333333335
10;11;2.466666666666667;1.5333333333333334;3.2;2.0;2.533333333333333;3.2666666666666666;2.2;1.9333333333333333;2.533333333333333;3.8;2.066666666666667;3.6;1.5333333333333334;0.9333333333333333;1.8666666666666667;2.2666666666666666;1.4666666666666666;1.7333333333333334
11;12;1.5333333333333334;2.1333333333333333;3.8666666666666667;3.1333333333333333;3.7333333333333334;3.533333333333333;2.2;3.466666666666667;3.0;4.333333333333333;3.533333333333333;4.533333333333333;1.3333333333333333;2.533333333333333;2.533333333333333;3.0;3.7333333333333334;4.133333333333334
12;13;2.6666666666666665;2.3333333333333335;4.266666666666667;2.8666666666666667;5.866666666666666;5.0;3.2;2.933333333333333;3.6;4.8;4.2;3.066666666666667;1.6666666666666667;2.7333333333333334;2.3333333333333335;4.333333333333333;5.133333333333334;4.066666666666666
13;14;1.2666666666666666;2.1333333333333333;2.2;3.0;3.2;3.2666666666666666;0.8666666666666667;1.8;2.6;2.1333333333333333;2.2666666666666666;2.1333333333333333;0.7333333333333333;3.466666666666667;1.6666666666666667;3.4;2.8;4.2
14;15;1.0;1.6666666666666667;2.066666666666667;2.4;2.066666666666667;3.6;0.8666666666666667;1.4666666666666666;1.7333333333333334;2.3333333333333335;2.3333333333333335;2.3333333333333335;1.2666666666666666;1.2;1.0;2.1333333333333333;2.6666666666666665;1.6666666666666667
15;16;1.7333333333333334;2.6666666666666665;2.4;4.0;5.666666666666667;5.0;3.533333333333333;3.3333333333333335;8.6;6.266666666666667;5.4;10.133333333333333;1.3333333333333333;2.7333333333333334;5.466666666666667;9.0;6.0;12.666666666666666
16;17;1.6;2.0;1.8666666666666667;3.2666666666666666;2.066666666666667;2.533333333333333;1.4666666666666666;1.7333333333333334;2.0;2.3333333333333335;2.466666666666667;2.2;2.3333333333333335;2.533333333333333;1.9333333333333333;3.4;1.9333333333333333;2.533333333333333
17;18;2.4;1.7333333333333334;2.533333333333333;2.6;3.2666666666666666;3.0;1.9333333333333333;2.0;3.533333333333333;2.3333333333333335;2.8666666666666667;2.2666666666666666;1.6;2.533333333333333;2.8;2.4;2.6666666666666665;3.2666666666666666
18;19;1.2666666666666666;1.4666666666666666;1.5333333333333334;1.9333333333333333;2.6;1.5333333333333334;1.3333333333333333;1.7333333333333334;2.3333333333333335;3.066666666666667;1.7333333333333334;2.1333333333333333;1.8666666666666667;1.5333333333333334;2.1333333333333333;2.0;2.2;2.1333333333333333
19;20;3.066666666666667;2.2666666666666666;2.4;3.533333333333333;4.133333333333334;3.1333333333333333;1.4;2.0;2.2666666666666666;2.8666666666666667;3.2666666666666666;3.6666666666666665;2.2666666666666666;2.1333333333333333;3.2666666666666666;2.066666666666667;4.4;3.066666666666667
20;22;1.4;1.8;2.933333333333333;2.6666666666666665;2.933333333333333;2.6666666666666665;1.2666666666666666;1.8666666666666667;3.0;2.933333333333333;2.8;2.066666666666667;1.6666666666666667;1.2;3.533333333333333;2.7333333333333334;2.3333333333333335;3.6
21;23;0.9333333333333333;2.066666666666667;2.0;2.4;2.2666666666666666;3.2666666666666666;2.2;2.533333333333333;3.1333333333333333;3.7333333333333334;3.6666666666666665;3.066666666666667;1.6;2.066666666666667;2.466666666666667;2.466666666666667;3.4;4.533333333333333
22;24;2.2;3.2666666666666666;2.8;2.8666666666666667;3.3333333333333335;5.4;1.5333333333333334;1.7333333333333334;3.7333333333333334;2.6;3.0;3.2666666666666666;1.7333333333333334;1.4;2.7333333333333334;2.3333333333333335;2.466666666666667;3.8
