Proband;Block;Task;MappingMethod;NumLayers;0;1;2;3;4;Duration_Sum
15;3;10; densening;9;7.973;8.209;5.283;8.277;4.123;33.864999999999995
15;3;11; densening;15;9.922;7.416;17.399;15.788;15.335;65.86000000000001
15;3;12; densening;18;11.827;6.425;12.486;19.975;18.773;69.486
15;3;13; densening;15;15.446;12.171;6.322;6.608;6.597;47.144
15;3;14; densening;6;8.62;4.9;1.773;7.346;5.958;28.597
15;3;15; densening;9;9.376;7.265;7.699;9.918;5.231;39.489
15;3;16; densening;18;12.693;13.049;15.659;7.432;5.229;54.062
15;3;17; densening;12;13.191;7.711;7.779;7.234;6.258;42.173
15;3;18; densening;15;9.311;8.139;6.79;11.041;6.286;41.567
16;1;1; widening;21;62.988;5.382;14.789;8.778;7.077;99.01400000000001
16;1;2; widening;6;8.908;4.98;6.528;6.046;4.604;31.066
16;1;3; widening;9;11.142;9.26;6.19;7.741;7.349;41.682
16;1;4; widening;15;7.92;6.06;9.285;20.477;6.93;50.672000000000004
16;1;5; widening;9;9.286;5.859;6.169;8.405;13.949;43.668
16;1;6; widening;6;10.46;44.572;6.535;3.582;3.727;68.876
16;1;7; widening;21;11.94;5.464;7.678;5.846;5.66;36.588
16;1;8; widening;9;17.347;9.907;6.762;8.051;14.033;56.1
16;1;9; widening;18;7.857;6.61;6.751;5.855;6.447;33.52
16;1;10; widening;18;9.904;5.689;6.267;7.351;9.431;38.641999999999996
16;1;11; widening;15;16.986;7.859;6.945;6.951;12.003;50.744
16;1;12; widening;18;11.784;5.928;4.442;5.585;7.066;34.805
16;1;13; widening;15;17.806;4.722;7.878;6.143;6.641;43.19
16;1;14; widening;12;11.809;6.851;6.299;6.324;5.733;37.016
16;1;15; widening;6;11.165;5.399;4.867;5.979;9.669;37.079
16;1;16; widening;12;10.01;5.95;5.947;6.831;6.477;35.215
16;1;17; widening;12;14.062;7.385;8.163;6.13;7.218;42.958
16;1;18; widening;21;13.694;6.859;9.424;30.839;6.908;67.724
16;2;1; densening;12;483.374;6.196;9.537;7.832;6.927;513.866
16;2;2; densening;18;11.577;7.67;6.409;10.909;6.048;42.613
16;2;3; densening;9;9.669;5.43;7.383;5.59;5.158;33.23
16;2;4; densening;6;10.303;5.599;6.817;5.222;9.944;37.885000000000005
16;2;5; densening;6;9.636;4.281;4.873;5.734;6.088;30.612000000000002
16;2;6; densening;15;14.614;7.757;7.92;4.092;7.51;41.893
16;2;7; densening;21;12.661;5.53;5.775;6.42;9.008;39.394000000000005
16;2;8; densening;15;15.702;8.125;6.599;5.621;12.463;48.51
16;2;9; densening;18;11.919;5.847;8.7;6.648;6.831;39.94500000000001
16;2;10; densening;21;12.033;4.843;5.384;9.988;10.098;42.346
16;2;11; densening;9;36.467;5.438;5.243;7.872;5.894;60.914
16;2;12; densening;18;9.364;6.795;6.324;9.001;5.415;36.898999999999994
16;2;13; densening;6;9.314;5.66;5.977;8.147;5.357;34.455
16;2;14; densening;9;13.974;5.15;6.24;6.594;3.518;35.476000000000006
16;2;15; densening;12;7.838;6.147;9.413;7.275;4.585;35.258
16;2;16; densening;12;9.42;7.385;5.137;6.676;5.875;34.493
16;2;17; densening;21;14.332;10.803;5.526;8.34;8.106;47.107000000000006
16;2;18; densening;15;10.189;9.475;4.862;8.485;5.534;38.545
16;3;1; direct;18;182.398;10.555;8.018;10.339;6.993;218.303
16;3;2; direct;12;9.182;5.636;6.368;7.163;6.674;35.023
16;3;3; direct;15;9.932;8.355;5.638;7.538;6.535;37.998
16;3;4; direct;9;10.143;5.155;5.144;5.898;7.007;33.347
16;3;5; direct;12;8.746;6.216;7.284;5.56;6.64;34.446
16;3;6; direct;6;7.092;9.939;5.45;5.239;4.916;32.635999999999996
16;3;7; direct;9;7.067;5.869;6.068;6.004;6.333;31.340999999999994
16;3;8; direct;12;9.088;6.871;12.741;5.564;8.232;42.495999999999995
16;3;9; direct;9;9.442;5.86;6.381;5.698;6.634;34.015
16;3;10; direct;15;9.976;5.779;10.478;20.127;7.353;53.713
16;3;11; direct;18;6.117;8.328;5.421;7.224;5.862;32.952
16;3;12; direct;18;12.6;7.089;5.334;7.387;6.727;39.137
16;3;13; direct;6;8.377;5.23;5.531;5.221;5.993;30.352000000000004
16;3;14; direct;21;8.777;5.775;7.842;6.757;9.744;38.894999999999996
16;3;15; direct;21;12.451;6.115;4.739;8.746;8.319;40.370000000000005
16;3;16; direct;15;12.366;6.152;8.161;7.915;7.724;42.318
16;3;17; direct;21;8.502;7.781;8.564;8.281;7.778;40.906
16;3;18; direct;6;9.058;3.917;4.8;3.491;5.833;27.098999999999997
17;1;1; direct;12;8.821;9.848;9.052;10.33;8.053;46.104
17;1;2; direct;12;9.829;7.593;12.352;8.243;11.263;49.28
17;1;3; direct;6;7.162;8.015;5.957;5.616;5.395;32.144999999999996
17;1;4; direct;15;9.681;8.144;5.939;6.27;6.228;36.262
17;1;5; direct;12;8.032;7.274;5.479;7.851;6.57;35.206
17;1;6; direct;18;10.277;6.407;7.86;8.475;11.177;44.196
17;1;7; direct;6;8.605;5.706;4.447;6.451;4.4;29.609
17;1;8; direct;21;10.04;7.008;7.456;6.805;7.6;38.909
17;1;9; direct;18;13.092;6.697;7.106;6.89;15.214;48.999
17;1;10; direct;9;7.641;7.142;5.421;8.675;5.341;34.22
17;1;11; direct;9;11.455;3.85;5.81;5.978;6.566;33.659
17;1;12; direct;18;10.76;7.918;6.611;10.719;6.9;42.908
17;1;13; direct;9;9.587;7.207;6.923;6.821;4.758;35.296
17;1;14; direct;21;11.183;9.874;10.178;7.084;8.231;46.550000000000004
17;1;15; direct;15;7.975;6.084;8.208;7.891;7.315;37.473
17;1;16; direct;21;8.592;8.147;11.748;7.316;8.276;44.07900000000001
17;1;17; direct;15;10.865;8.641;6.315;5.741;9.006;40.568
17;1;18; direct;6;8.637;7.785;7.774;4.062;6.199;34.457
17;2;1; widening;21;22.075;8.749;13.162;6.894;9.534;60.413999999999994
17;2;2; widening;12;8.501;5.65;6.496;8.911;4.307;33.865
17;2;3; widening;21;10.917;7.93;7.129;6.75;8.214;40.94
17;2;4; widening;18;17.554;9.08;7.048;365.353;8.201;407.23600000000005
17;2;5; widening;6;5.119;3.455;3.029;3.291;3.948;18.842
17;2;6; widening;12;10.221;7.395;5.474;9.745;6.27;39.105000000000004
17;2;7; widening;9;9.921;5.929;6.321;7.215;7.686;37.072
17;2;8; widening;18;11.84;6.005;6.781;7.805;8.89;41.321
17;2;9; widening;15;11.917;5.635;5.491;14.209;6.221;43.473
17;2;10; widening;6;10.823;8.276;6.742;4.755;3.688;34.284
17;2;11; widening;6;10.025;6.685;5.353;4.166;4.373;30.602000000000004
17;2;12; widening;15;6.894;8.546;8.068;6.077;5.979;35.564
17;2;13; widening;9;9.885;6.336;7.411;5.974;6.151;35.757
17;2;14; widening;21;13.785;9.604;11.328;6.993;5.3;47.01
17;2;15; widening;18;10.504;6.844;9.145;7.054;6.732;40.278999999999996
17;2;16; widening;15;7.353;11.748;6.105;7.93;13.471;46.607
17;2;17; widening;12;9.114;5.036;8.296;15.791;5.596;43.833
17;2;18; widening;9;8.436;9.962;6.954;10.639;7.221;43.212
17;3;1; densening;12;10.109;5.876;7.399;9.264;6.776;39.42399999999999
17;3;2; densening;6;8.29;8.021;290.556;4.105;8.525;319.49699999999996
17;3;3; densening;21;18.29;8.97;21.398;11.834;4.47;64.962
17;3;4; densening;9;6.914;7.1;8.975;6.399;4.814;34.202
17;3;5; densening;9;9.04;5.775;5.302;6.599;9.12;35.836
17;3;6; densening;18;23.856;5.894;17.783;8.844;8.463;64.84
17;3;7; densening;15;12.457;4.96;8.167;7.596;8.7;41.88000000000001
17;3;8; densening;18;10.794;11.749;10.747;8.401;5.542;47.233000000000004
17;3;9; densening;15;9.279;11.681;7.426;8.115;7.659;44.160000000000004
17;3;10; densening;21;10.817;7.8;6.803;9.453;13.174;48.047000000000004
17;3;11; densening;6;9.229;5.105;4.084;8.222;17.601;44.241
17;3;12; densening;21;9.297;6.723;7.718;6.201;9.111;39.05
17;3;13; densening;9;8.898;5.699;4.453;8.024;8.815;35.888999999999996
17;3;14; densening;6;8.856;4.299;4.437;5.106;5.422;28.12
17;3;15; densening;12;7.344;26.141;35.161;10.915;5.428;84.989
17;3;16; densening;18;35.638;5.776;9.238;7.84;28.098;86.59
