;Proband;Block;Task;Trial;MappingMethod;NumLayers;Target;Target_Relative;Duration
108;0;2;4;3; direct;18;9;0.5;5.661
109;0;2;4;4; direct;18;17;0.9444444444444444;9.14
110;0;2;5;0; direct;21;11;0.5238095238095238;10.01
111;0;2;5;1; direct;21;5;0.23809523809523808;6.833
112;0;2;5;2; direct;21;1;0.047619047619047616;5.633
113;0;2;5;3; direct;21;20;0.9523809523809523;6.645
114;0;2;5;4; direct;21;16;0.7619047619047619;10.041
115;0;2;6;0; direct;21;16;0.7619047619047619;3.729
116;0;2;6;1; direct;21;5;0.23809523809523808;13.315
117;0;2;6;2; direct;21;11;0.5238095238095238;10.528
118;0;2;6;3; direct;21;1;0.047619047619047616;16.975
119;0;2;6;4; direct;21;20;0.9523809523809523;22.325
120;0;2;7;0; direct;21;1;0.047619047619047616;30.161
121;0;2;7;1; direct;21;16;0.7619047619047619;19.527
122;0;2;7;2; direct;21;5;0.23809523809523808;16.399
123;0;2;7;3; direct;21;20;0.9523809523809523;8.23
124;0;2;7;4; direct;21;11;0.5238095238095238;7.689
125;0;2;8;0; direct;9;5;0.5555555555555556;14.465
126;0;2;8;1; direct;9;2;0.2222222222222222;10.328
127;0;2;8;2; direct;9;1;0.1111111111111111;6.796
128;0;2;8;3; direct;9;7;0.7777777777777778;5.899
129;0;2;8;4; direct;9;8;0.8888888888888888;6.89
130;0;2;9;0; direct;18;1;0.05555555555555555;21.821
131;0;2;9;1; direct;18;5;0.2777777777777778;16.6
132;0;2;9;2; direct;18;14;0.7777777777777778;11.655
133;0;2;9;3; direct;18;9;0.5;6.432
134;0;2;9;4; direct;18;17;0.9444444444444444;6.596
135;0;2;10;0; direct;15;1;0.06666666666666667;19.506
136;0;2;10;1; direct;15;14;0.9333333333333333;4.185
137;0;2;10;2; direct;15;4;0.26666666666666666;6.246
138;0;2;10;3; direct;15;8;0.5333333333333333;4.224
139;0;2;10;4; direct;15;11;0.7333333333333333;4.481
140;0;2;11;0; direct;6;1;0.16666666666666666;8.117
141;0;2;11;1; direct;6;3;0.5;6.838
142;0;2;11;2; direct;6;4;0.6666666666666666;4.173
143;0;2;11;3; direct;6;2;0.3333333333333333;6.327
144;0;2;11;4; direct;6;5;0.8333333333333334;4.616
145;0;2;12;0; direct;18;1;0.05555555555555555;15.449
146;0;2;12;1; direct;18;9;0.5;8.619
147;0;2;12;2; direct;18;14;0.7777777777777778;4.877
148;0;2;12;3; direct;18;5;0.2777777777777778;6.617
149;0;2;12;4; direct;18;17;0.9444444444444444;43.499
150;0;2;13;0; direct;15;1;0.06666666666666667;7.69
151;0;2;13;1; direct;15;11;0.7333333333333333;6.131
152;0;2;13;2; direct;15;8;0.5333333333333333;4.39
153;0;2;13;3; direct;15;14;0.9333333333333333;7.357
154;0;2;13;4; direct;15;4;0.26666666666666666;12.222
155;0;2;14;0; direct;9;5;0.5555555555555556;9.123
156;0;2;14;1; direct;9;8;0.8888888888888888;6.351
157;0;2;14;2; direct;9;7;0.7777777777777778;3.56
158;0;2;14;3; direct;9;2;0.2222222222222222;1.985
159;0;2;14;4; direct;9;1;0.1111111111111111;5.258
160;0;2;15;0; direct;12;6;0.5;6.691
161;0;2;15;1; direct;12;11;0.9166666666666666;9.39
162;0;2;15;2; direct;12;9;0.75;3.238
163;0;2;15;3; direct;12;1;0.08333333333333333;6.287
164;0;2;15;4; direct;12;3;0.25;6.173
165;0;2;16;0; direct;15;4;0.26666666666666666;8.912
166;0;2;16;1; direct;15;14;0.9333333333333333;4.861
167;0;2;16;2; direct;15;1;0.06666666666666667;5.045
168;0;2;16;3; direct;15;8;0.5333333333333333;3.652
169;0;2;16;4; direct;15;11;0.7333333333333333;7.584
170;0;2;17;0; direct;6;2;0.3333333333333333;9.44
171;0;2;17;1; direct;6;1;0.16666666666666666;4.909
172;0;2;17;2; direct;6;4;0.6666666666666666;5.026
173;0;2;17;3; direct;6;3;0.5;5.288
174;0;2;17;4; direct;6;5;0.8333333333333334;7.197
175;0;2;18;0; direct;12;1;0.08333333333333333;7.988
176;0;2;18;1; direct;12;3;0.25;8.149
177;0;2;18;2; direct;12;11;0.9166666666666666;4.012
178;0;2;18;3; direct;12;6;0.5;6.221
179;0;2;18;4; direct;12;9;0.75;3.719
180;0;3;1;0; widening;21;16;0.7619047619047619;140.577
181;0;3;1;1; widening;21;5;0.23809523809523808;11.324
182;0;3;1;2; widening;21;1;0.047619047619047616;6.348
183;0;3;1;3; widening;21;11;0.5238095238095238;4.078
184;0;3;1;4; widening;21;20;0.9523809523809523;8.253
185;0;3;2;0; widening;12;9;0.75;5.424
186;0;3;2;1; widening;12;1;0.08333333333333333;3.67
187;0;3;2;2; widening;12;3;0.25;11.625
188;0;3;2;3; widening;12;11;0.9166666666666666;5.176
189;0;3;2;4; widening;12;6;0.5;5.544
190;0;3;3;0; widening;9;5;0.5555555555555556;12.576
191;0;3;3;1; widening;9;7;0.7777777777777778;3.574
192;0;3;3;2; widening;9;1;0.1111111111111111;3.315
193;0;3;3;3; widening;9;8;0.8888888888888888;4.01
194;0;3;3;4; widening;9;2;0.2222222222222222;4.867
195;0;3;4;0; widening;6;2;0.3333333333333333;10.12
196;0;3;4;1; widening;6;3;0.5;5.319
197;0;3;4;2; widening;6;1;0.16666666666666666;3.964
198;0;3;4;3; widening;6;4;0.6666666666666666;3.684
199;0;3;4;4; widening;6;5;0.8333333333333334;6.663
200;0;3;5;0; widening;9;8;0.8888888888888888;6.574
201;0;3;5;1; widening;9;1;0.1111111111111111;16.109
202;0;3;5;2; widening;9;7;0.7777777777777778;4.876
203;0;3;5;3; widening;9;5;0.5555555555555556;4.179
204;0;3;5;4; widening;9;2;0.2222222222222222;9.129
205;0;3;6;0; widening;18;1;0.05555555555555555;38.099
206;0;3;6;1; widening;18;5;0.2777777777777778;4.019
207;0;3;6;2; widening;18;17;0.9444444444444444;15.523
208;0;3;6;3; widening;18;9;0.5;4.338
209;0;3;6;4; widening;18;14;0.7777777777777778;3.154
210;0;3;7;0; widening;15;14;0.9333333333333333;5.651
211;0;3;7;1; widening;15;1;0.06666666666666667;3.74
212;0;3;7;2; widening;15;11;0.7333333333333333;4.443
213;0;3;7;3; widening;15;8;0.5333333333333333;4.237
214;0;3;7;4; widening;15;4;0.26666666666666666;7.815
215;0;3;8;0; widening;18;1;0.05555555555555555;10.061
216;0;3;8;1; widening;18;17;0.9444444444444444;14.639
217;0;3;8;2; widening;18;5;0.2777777777777778;2.398
218;0;3;8;3; widening;18;14;0.7777777777777778;3.425
219;0;3;8;4; widening;18;9;0.5;5.241
220;0;3;9;0; widening;15;1;0.06666666666666667;6.665
221;0;3;9;1; widening;15;11;0.7333333333333333;9.509
222;0;3;9;2; widening;15;4;0.26666666666666666;6.181
223;0;3;9;3; widening;15;8;0.5333333333333333;5.683
224;0;3;9;4; widening;15;14;0.9333333333333333;15.948
