;NumLayers;Completed_Abs;Completed_Rel;Failed_Abs;Failed_Rel;Terminated_Abs;Terminated_Rel;Sum;Sum_Rel
0;6;740;0.7156673114119922;13;0.012572533849129593;281;0.27176015473887816;1034;1.0
1;9;771;0.744927536231884;16;0.015458937198067632;248;0.2396135265700483;1035;1.0
2;12;732;0.7072463768115942;15;0.014492753623188406;288;0.2782608695652174;1035;1.0
3;15;721;0.6966183574879227;27;0.02608695652173913;287;0.2772946859903382;1035;1.0
4;18;708;0.6840579710144927;27;0.02608695652173913;300;0.2898550724637681;1035;1.0
5;21;676;0.6531400966183575;37;0.035748792270531404;322;0.3111111111111111;1035;1.0
