;;;;;Result;Result;Result;Result;Result;Result_Numeric;Result_Numeric;Result_Numeric;Result_Numeric;Result_Numeric
Trial;;;;;0;1;2;3;4;0;1;2;3;4
Proband;Block;Task;MappingMethod;NumLayers;;;;;;;;;;
02;1;2; direct;6; COMPLETED; TERMINATED; COMPLETED; COMPLETED; COMPLETED;1;0;1;1;1
02;1;3; direct;9; COMPLETED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;1;1;0;1;1
02;1;4; direct;15; TERMINATED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;1;1;1;1
02;1;5; direct;6; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;1;6; direct;15; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;1;7; direct;12; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;1;8; direct;15; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;1;9; direct;21; COMPLETED; FAILED; TERMINATED; COMPLETED; COMPLETED;1;0;0;1;1
02;1;10; direct;21; COMPLETED; TERMINATED; COMPLETED; TERMINATED; TERMINATED;1;0;1;0;0
02;1;11; direct;9; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;1;12; direct;18; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;1;13; direct;12; COMPLETED; COMPLETED; COMPLETED; COMPLETED; FAILED;1;1;1;1;0
02;1;14; direct;12; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;1;15; direct;21; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;1;16; direct;18; TERMINATED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;1;1;1;1
02;1;17; direct;18; TERMINATED; TERMINATED; COMPLETED; COMPLETED; COMPLETED;0;0;1;1;1
02;1;18; direct;6; COMPLETED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;1;1;1;0;1
02;2;1; widening;6; COMPLETED; COMPLETED; TERMINATED; TERMINATED; COMPLETED;1;1;0;0;1
02;2;2; widening;21; COMPLETED; FAILED; COMPLETED; COMPLETED; COMPLETED;1;0;1;1;1
02;2;3; widening;15; COMPLETED; TERMINATED; FAILED; COMPLETED; COMPLETED;1;0;0;1;1
02;2;4; widening;12; COMPLETED; COMPLETED; FAILED; COMPLETED; COMPLETED;1;1;0;1;1
02;2;5; widening;12; COMPLETED; COMPLETED; COMPLETED; COMPLETED; TERMINATED;1;1;1;1;0
02;2;6; widening;6; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;2;7; widening;18; FAILED; COMPLETED; COMPLETED; COMPLETED; TERMINATED;0;1;1;1;0
02;2;8; widening;18; COMPLETED; COMPLETED; COMPLETED; COMPLETED; FAILED;1;1;1;1;0
02;2;9; widening;21; COMPLETED; FAILED; TERMINATED; COMPLETED; TERMINATED;1;0;0;1;0
02;2;10; widening;9; COMPLETED; TERMINATED; COMPLETED; COMPLETED; COMPLETED;1;0;1;1;1
02;2;11; widening;9; COMPLETED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;1;1;1;0;1
02;2;12; widening;12; COMPLETED; COMPLETED; TERMINATED; TERMINATED; COMPLETED;1;1;0;0;1
02;2;13; widening;9; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
