;Proband;MappingMethod;NumLayers;Completed_Abs;Completed_Rel;Failed_Abs;Failed_Rel;Terminated_Abs;Terminated_Rel;Sum;Sum_Rel
66;11; widening;12;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
67;11; widening;15;9;0.6;0;0.0;6;0.4;15;1.0
68;11; widening;18;12;0.8;0;0.0;3;0.2;15;1.0
69;11; widening;21;9;0.6;0;0.0;6;0.4;15;1.0
70;11; widening;6;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
71;11; widening;9;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
72;12; densening;12;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
73;12; densening;15;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
74;12; densening;18;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
75;12; densening;21;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
76;12; densening;6;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
77;12; densening;9;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
78;12; direct;12;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
79;12; direct;15;12;0.8;1;0.06666666666666667;2;0.13333333333333333;15;1.0
80;12; direct;18;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
81;12; direct;21;8;0.5333333333333333;1;0.06666666666666667;6;0.4;15;1.0
82;12; direct;6;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
83;12; direct;9;15;1.0;0;0.0;0;0.0;15;1.0
84;12; widening;12;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
85;12; widening;15;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
86;12; widening;18;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
87;12; widening;21;11;0.7333333333333333;1;0.06666666666666667;3;0.2;15;1.0
88;12; widening;6;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
89;12; widening;9;12;0.8;0;0.0;3;0.2;15;1.0
90;13; densening;12;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
91;13; densening;15;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
92;13; densening;18;12;0.8;0;0.0;3;0.2;15;1.0
93;13; densening;21;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
94;13; densening;6;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
95;13; densening;9;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
96;13; direct;12;15;1.0;0;0.0;0;0.0;15;1.0
97;13; direct;15;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
98;13; direct;18;12;0.8;0;0.0;3;0.2;15;1.0
99;13; direct;21;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
100;13; direct;6;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
101;13; direct;9;15;1.0;0;0.0;0;0.0;15;1.0
102;13; widening;12;9;0.6;0;0.0;6;0.4;15;1.0
103;13; widening;15;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
104;13; widening;18;9;0.6;0;0.0;6;0.4;15;1.0
105;13; widening;21;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
106;13; widening;6;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
107;13; widening;9;12;0.8;0;0.0;3;0.2;15;1.0
108;14; densening;12;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
109;14; densening;15;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
110;14; densening;18;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
111;14; densening;21;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
112;14; densening;6;7;0.4666666666666667;0;0.0;8;0.5333333333333333;15;1.0
113;14; densening;9;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
114;14; direct;12;15;1.0;0;0.0;0;0.0;15;1.0
115;14; direct;15;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
116;14; direct;18;15;1.0;0;0.0;0;0.0;15;1.0
117;14; direct;21;15;1.0;0;0.0;0;0.0;15;1.0
118;14; direct;6;9;0.6;0;0.0;6;0.4;15;1.0
119;14; direct;9;12;0.8;0;0.0;3;0.2;15;1.0
120;14; widening;12;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
121;14; widening;15;12;0.8;3;0.2;0;0.0;15;1.0
122;14; widening;18;12;0.8;1;0.06666666666666667;2;0.13333333333333333;15;1.0
123;14; widening;21;11;0.7333333333333333;3;0.2;1;0.06666666666666667;15;1.0
124;14; widening;6;12;0.8;0;0.0;3;0.2;15;1.0
125;14; widening;9;13;0.8666666666666667;1;0.06666666666666667;1;0.06666666666666667;15;1.0
126;15; densening;12;6;0.4;1;0.06666666666666667;8;0.5333333333333333;15;1.0
127;15; densening;15;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
128;15; densening;18;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
129;15; densening;21;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
130;15; densening;6;12;0.8;1;0.06666666666666667;2;0.13333333333333333;15;1.0
131;15; densening;9;9;0.6;0;0.0;6;0.4;15;1.0
132;15; direct;12;6;0.4;0;0.0;9;0.6;15;1.0
133;15; direct;15;8;0.5333333333333333;0;0.0;7;0.4666666666666667;15;1.0
134;15; direct;18;7;0.4666666666666667;0;0.0;8;0.5333333333333333;15;1.0
135;15; direct;21;6;0.4;0;0.0;9;0.6;15;1.0
136;15; direct;6;11;0.7333333333333333;0;0.0;4;0.26666666666666666;15;1.0
137;15; direct;9;9;0.6;0;0.0;6;0.4;15;1.0
138;15; widening;12;7;0.4666666666666667;0;0.0;8;0.5333333333333333;15;1.0
139;15; widening;15;5;0.3333333333333333;1;0.06666666666666667;9;0.6;15;1.0
